No,Title,Inventors,Applicants,Publication number,Earliest priority,IPC,CPC,Publication date,Earliest publication,Family number,Unnamed: 11,first publication date,second publication date,first publication number,second publication number,family_jurisdictions,family_members
28,METHOD OF SECRETS INJECTION FOR AUTONOMOUS VEHICLES,"RUTH MICHAEL [US] 
NUSZKOWSKI BRIAN CHRISTIAN [US]",GM CRUISE HOLDINGS LLC [US],"US11418337B2 
US2021306141A1",2020-03-31,"G06F21/31 
H04L9/08 
H04L9/32 
G06F21/44 
G06F21/60 
H04L9/40 
H04W12/04 
H04W4/44","G06F21/31 (US) 
G06F21/44 (EP) 
G06F21/604 (EP) 
H04L63/062 (EP) 
H04L63/0823 (EP) 
H04L9/088 (US) 
H04L9/0891 (EP) 
H04L9/0894 (EP) 
H04L9/3247 (US) 
H04W12/04 (EP) 
H04W4/44 (EP) 
G06F2221/2143 (EP) 
H04L2209/84 (EP)","2021-09-30 
2022-08-16",2021-09-30,77857594,,2021-09-30,2022-08-16,US11418337B2,"
US2021306141A1",['US'],"['US11418337B2', 'US2021306141A1']"
29,Modular Track for Autonomous Vehicles,"MIMLITCH III ROBERT H [US] 
NORMAN DAVID ANTHONY [US] 
CARTER JOEL REAGAN [US] 
GALLETTI DOUGLAS MICHAEL [US] 
NEEDEL GREGORY E [US] 
WAEGELIN JEFFREY R [US] 
LAVENDAR GREGORY [US]","MIMLITCH III ROBERT H [US] 
NORMAN DAVID ANTHONY [US] 
CARTER JOEL REAGAN [US] 
GALLETTI DOUGLAS MICHAEL [US] 
NEEDEL GREGORY E [US] 
WAEGELIN JEFFREY R [US] 
LAVENDAR GREGORY [US] 
INNOVATION FIRST INC [US]","US2012080533A1 
US8616463B2",2010-10-05,E01B23/00,"A63H11/20 (EP,US) 
A63H18/02 (EP,US)","2012-04-05 
2013-12-31",2012-04-05,45888968,,2012-04-05,2013-12-31,US2012080533A1,"
US8616463B2","['US', 'WO']","['US2012080533A1', 'US8616463B2', 'WO2012048019A2', 'WO2012048019A3']"
30,Control of Autonomous Vehicles,"ROWLEY JAMES [US] 
OMO MARK [US]","ROWLEY JAMES [US] 
OMO MARK [US]",US2018210460A1,2017-01-23,"G01C21/20 
G05D1/00 
G05D1/02 
G07C5/00","G01C21/26 (EP,US) 
G05D1/0027 (EP,US) 
G07C5/008 (US)",2018-07-26,2018-07-26,62905867,,2018-07-26,,US2018210460A1,,['US'],['US2018210460A1']
31,TÉLÉOPÉRATION DE VÉHICULES AUTONOMES,"ALALAO AYMAN [US] 
CHANG HSUN-HSIEN [US] 
LIU SHIH-YUAN [US]",MOTIONAL AD LLC [US],"EP3872595A1 
EP3872595B1",2018-08-02,"G05D1/00 
G08G1/00 
G08G1/0962 
G08G1/0968 
G08G1/13 
G08G1/14 
G08G1/16 
H04W4/02 
H04W4/024 
H04W4/44","G05D1/0027 (EP) 
G05D1/0044 (EP) 
G08G1/09623 (EP) 
G08G1/09626 (EP) 
G08G1/096827 (EP) 
G08G1/096844 (EP) 
G08G1/142 (EP) 
G08G1/163 (EP) 
G08G1/164 (EP) 
G08G1/165 (EP) 
G08G1/166 (EP) 
G08G1/167 (EP) 
G08G1/20 (EP) 
H04W4/024 (EP) 
H04W4/025 (EP) 
H04W4/44 (EP)","2021-09-01 
2022-11-23",2020-02-05,67438094,,2021-09-01,2022-11-23,EP3872595A1,"
EP3872595B1","['CN', 'DK', 'EP', 'US']","['CN110850865A', 'CN110850865B', 'CN115202362A', 'DK180657B1', 'DK201870685A1', 'EP3605257A1', 'EP3605257B1', 'EP3872595A1', 'EP3872595B1', 'EP4152116A1', 'EP4152116B1', 'US11181905B2', 'US2020041994A1', 'US2022075368A1']"
32,APPARATUS AND METHODS FOR MONITORING AUTONOMOUS VEHICLES,"SIMPSON ANTHONY BRIAN [US] 
WEISBERG JESSE [US] 
MITCHELL SAMUEL [US] 
PARLAKTUNA MUSTAFA [US] 
LINNEMANN JOSHUA G [US]","TOYOTA IND EQUIPMENT MFG INC [US] 
C/O TOYOTA MAT HANDLING INC [US] 
TOYOTA MAT HANDLING INC [US]","US11599125B2 
US2021096581A1",2019-09-30,"G05D1/00 
G05D1/02","G05D1/0016 (US) 
G05D1/0022 (US) 
G05D1/0038 (EP,US) 
G05D1/0088 (US) 
G05D1/0246 (US) 
G05D1/0291 (US) 
G05D1/223 (US) 
G05D1/2247 (US) 
G05D1/226 (US) 
G05D1/227 (US) 
G05D1/249 (US) 
G05D1/69 (US)","2021-04-01 
2023-03-07",2021-03-30,75163117,,2021-04-01,2023-03-07,US11599125B2,"
US2021096581A1","['CA', 'US']","['CA3094855A1', 'US11599125B2', 'US12085958B2', 'US2021096581A1', 'US2023195140A1', 'US2024427335A1']"
33,Reconfigurable Autonomous Ground Service Vehicles and Control System,"MACKIN STEVE G [US] 
KNUDSEN PETER J [US]",BOEING CO [US],"US11307596B2 
US2021080974A1",2019-09-16,"H04L29/08 
B60P3/42 
B60R16/03 
B62D27/06 
G05D1/00 
G05D1/02 
G01C22/00 
H04L67/125","B60P3/42 (US) 
B60R16/03 (US) 
B62D27/06 (EP,US) 
B62D63/025 (EP) 
B64F1/228 (EP) 
B64F1/31 (EP) 
B64F1/32 (EP) 
G05D1/0088 (US) 
G05D1/0214 (US) 
G05D1/0291 (US) 
H04L67/125 (US) 
B60P3/42 (EP) 
B60R16/03 (EP) 
B60R16/08 (EP) 
H04L67/12 (EP)","2021-03-18 
2022-04-19",2021-03-18,74868589,,2021-03-18,2022-04-19,US11307596B2,"
US2021080974A1",['US'],"['US11307596B2', 'US2021080974A1']"
34,"TRAVELING CONTROL SYSTEM FOR AUTONOMOUS TRAVELING VEHICLES, SERVER APPARATUS, AND AUTONOMOUS TRAVELING VEHICLE","YAMAMURO NAOKI [JP] 
ADACHI SHINICHI [JP] 
HATTORI RYO [JP] 
AMAKASU TAICHI [JP] 
HIRUMA KEIGO [JP]","TOYOTA MOTOR CO LTD [JP] 
DENSO CORP [JP]",US2019258270A1,2018-02-16,"G05D1/00 
G05D1/02","B60W30/16 (CN) 
B60W50/00 (CN) 
G05D1/0088 (US) 
G05D1/0293 (US) 
G05D1/0297 (EP) 
G08G1/165 (CN) 
G08G1/166 (CN) 
B60W2050/0075 (CN) 
B60W2556/65 (CN)",2019-08-22,2019-08-22,67617843,,2019-08-22,,US2019258270A1,,"['CN', 'JP', 'US']","['CN110171418A', 'CN110171418B', 'JP2019144668A', 'JP7060398B2', 'US2019258270A1']"
35,SYSTEMS AND METHODS FOR DYNAMIC ROUTING AUTONOMOUS VEHICLES,"FRANEY CATHERINE JONES [US] 
DEIGNAN TIMOTHY [US]","6 RIVER SYSTEMS LLC [US] 
SHOPIFY INC [CA]",US2022397912A1,2021-06-11,"B65G1/137 
G05D1/02","B65G1/1373 (US) 
B65G1/1375 (EP) 
G05D1/0297 (EP,US) 
G05D1/0088 (US) 
G06Q10/087 (EP)",2022-12-15,2022-12-15,84390292,,2022-12-15,,US2022397912A1,,['US'],['US2022397912A1']
36,TRANSPORTATION SYSTEM FOR AUTONOMOUS VEHICLES,"FLYNN KEITH [US] 
GIBSON NICHOLAS [JP] 
SEEGER MARK E [US]",GLYDWAYS INC [US],US2024149917A1,2022-11-07,"B60W30/16 
B60W40/076 
B60W60/00 
G08G1/00","B60W30/16 (EP,US) 
B60W40/076 (US) 
B60W60/00253 (EP,US) 
G08G1/202 (EP,US) 
B60W2520/06 (EP,US) 
B60W2552/15 (EP,US) 
B60W2554/80 (EP,US)",2024-05-09,2024-05-09,90927079,,2024-05-09,,US2024149917A1,,"['US', 'WO']","['US2024149917A1', 'WO2024102375A1']"
37,Vehicle sharing system for autonomous vehicles,JANG HYUN CHUN [KR],JANG HYUN CHUN [KR],"KR102548973B1 
KR20230014898A",2021-07-21,"A61B5/22 
A61B5/346 
B60W40/08 
B60W50/14 
B60W60/00 
G06F18/00 
G06Q50/30","A61B5/222 (KR) 
A61B5/346 (KR) 
B60W40/08 (KR) 
B60W50/14 (KR) 
B60W60/00256 (KR) 
G06Q50/40 (KR) 
G06V40/12 (KR) 
G06V40/16 (KR) 
B60W2040/0809 (KR) 
B60W2040/0872 (KR) 
B60W2050/146 (KR) 
B60W2556/65 (KR)","2023-01-31 
2023-06-28",2023-01-31,85109227,,2023-01-31,2023-06-28,KR102548973B1,"
KR20230014898A",['KR'],"['KR102548973B1', 'KR20230014898A']"
38,AUTONOMOUS VEHICLES FOR EFFICIENT TRANSPORTATION AND DELIVERY OF PACKAGES,"LIANG BIYONKA [US] 
LIANG PING [US]","LIANG BIYONKA [US] 
LIANG PING [US]",US2018330319A1,2017-05-10,"G05D1/00 
G05D1/02 
G06Q10/08","G05D1/0088 (US) 
G05D1/0287 (US) 
G05D1/0293 (EP,US) 
G06Q10/0832 (EP,US) 
G06Q10/08355 (EP,US) 
G08G1/202 (EP,US)",2018-11-15,2018-11-15,64097351,,2018-11-15,,US2018330319A1,,['US'],"['US10339814B2', 'US2018330319A1', 'US2018330622A1']"
39,SYSTEM AND METHOD FOR CONTROLLING UNMANNED AUTONOMOUS VEHICLES,"ANTONINI ROBERTO [IT] 
GASPARDONE MARCO [IT] 
ROSSOTTO MAURO ALBERTO [IT]",TELECOM ITALIA SPA [IT],US2023195103A1,2020-03-18,"B64U10/00 
G05D1/00 
G08G5/00","B64U10/00 (US) 
G05D1/0022 (US) 
G05D1/0027 (US) 
G05D1/226 (EP) 
G05D1/69 (EP) 
G08G5/22 (EP) 
G08G5/26 (EP,US) 
G08G5/53 (EP) 
G08G5/55 (EP,US) 
G08G5/57 (US) 
G08G5/58 (US) 
H04L12/12 (EP) 
H04W4/44 (EP) 
B64U2201/10 (EP,US) 
G05D2109/254 (EP) 
G08G5/57 (EP) 
G08G5/58 (EP)",2023-06-22,2021-09-18,70978353,,2023-06-22,,US2023195103A1,,"['EP', 'IT', 'US', 'WO']","['EP4121832A1', 'EP4121832B1', 'IT202000005707A1', 'US2023195103A1', 'WO2021185597A1']"
40,SEMANTIC INFORMATION SHARING IN AUTONOMOUS VEHICLES,"FERRIN JEFF [US] 
BYBEE TAYLOR [US] 
BUNDERSON NATE [US]",AUTONOMOUS SOLUTIONS INC [US],"US11475763B2 
US2020286369A1",2019-02-15,"G01C21/34 
G06K9/00 
G08G1/01 
H04W4/029 
H04W4/46 
G06V20/56 
G06F16/11","G01C21/3461 (US) 
G01C21/3841 (EP) 
G06F16/13 (EP) 
G06V20/56 (EP,US) 
G06V20/58 (EP) 
G08G1/0112 (US) 
G08G1/22 (EP) 
H04W4/021 (EP) 
H04W4/029 (US) 
H04W4/40 (EP) 
H04W4/46 (US) 
G06F16/11 (US)","2020-09-10 
2022-10-18",2020-09-10,72335372,,2020-09-10,2022-10-18,US11475763B2,"
US2020286369A1",['US'],"['US11475763B2', 'US2020286369A1']"
41,Navigable path networks for autonomous vehicles,"SIEGEL HILLIARD BRUCE [US] 
MISHRA PRAGYANA K [US]",AMAZON TECH INC [US],US10698409B1,2016-09-16,"G01C21/34 
G05D1/00 
G05D1/02 
G06Q10/08","G01C21/3407 (EP) 
G01C21/3602 (EP) 
G05D1/0022 (US) 
G05D1/0088 (US) 
G05D1/0223 (US) 
G05D1/0246 (EP) 
G05D1/0274 (EP) 
G05D1/0297 (EP) 
G06Q10/0834 (EP,US)",2020-06-30,2019-04-02,65898438,,2020-06-30,,US10698409B1,,['US'],"['US10248120B1', 'US10698409B1']"
42,LANE ASSIGNMENTS FOR AUTONOMOUS VEHICLES,"CURLANDER JAMES CHRISTOPHER [US] 
RUSSELL RYAN SCOTT [US] 
BATHURST ALLAN SCOTT [US] 
MADAN UDIT [US] 
GRAYBILL JULES COOK [US] 
NORWOOD JONATHAN BLAIR [US] 
LAUKA WESLEY SCOTT [US] 
MISHRA PRAGYANA K [US] 
CANAVOR DARREN ERNEST [US]",AMAZON TECH INC [US],"US10388155B2 
US2017148316A1",2015-11-19,"G01C21/34 
G01C21/36 
G05D1/00 
G05D1/02 
G08G1/04 
G08G1/09 
G08G1/14","G01C21/3492 (US) 
G01C21/362 (US) 
G01C21/3658 (US) 
G05D1/0022 (US) 
G05D1/0088 (US) 
G05D1/0212 (US) 
G05D1/0276 (US) 
G08G1/04 (US) 
G08G1/09 (US) 
G08G1/096725 (EP) 
G08G1/096741 (EP) 
G08G1/096775 (EP) 
G08G1/14 (US) 
G08G1/143 (EP) 
G08G1/147 (EP)","2017-05-25 
2019-08-20",2017-01-17,57485880,,2017-05-25,2019-08-20,US10388155B2,"
US2017148316A1","['US', 'WO']","['US10388155B2', 'US2017148316A1', 'US9547986B1', 'WO2017087199A1']"
43,AUTONOMOUS ELECTRIC AGRICULTURAL VEHICLES,LAMB JONATHAN [US],OPTOEV INC [US],US2018264954A1,2017-03-18,"B60L11/18 
G05D1/00 
G05D1/02","B60L53/51 (EP,US) 
B60L53/64 (EP,US) 
B60L55/00 (EP,US) 
G05D1/0027 (EP,US) 
G05D1/0088 (US) 
G05D1/0291 (US) 
B60L2200/40 (EP,US) 
B60L2240/62 (EP,US) 
B60L2260/32 (EP,US) 
Y02E60/00 (EP) 
Y02T10/70 (EP,US) 
Y02T10/7072 (EP) 
Y02T10/72 (EP) 
Y02T90/12 (EP) 
Y02T90/16 (EP) 
Y02T90/167 (EP) 
Y04S10/126 (EP) 
Y04S30/14 (EP)",2018-09-20,2018-09-20,63521546,,2018-09-20,,US2018264954A1,,['US'],['US2018264954A1']
44,SYSTÈME DE NAVIGATION CELLULAIRE DESTINÉ À DES VÉHICULES AUTONOMES,PONSFORD ALAN THOMAS [GB],"CAPOCO DESIGN LTD [GB] 
PONSFORD ALAN THOMAS [GB]",WO2011154679A1,2010-06-07,"G01C21/26 
G01C21/34 
G05D1/02",G05D1/0291 (EP),2011-12-15,2011-12-15,42471287,,2011-12-15,,WO2011154679A1,,"['GB', 'WO']","['GB201009521D0', 'WO2011154679A1']"
45,TASK MANAGEMENT OF AUTONOMOUS PRODUCT DELIVERY VEHICLES,"MATTINGLY TODD D [US] 
HIGH DONALD R [US] 
WILKINSON BRUCE W [US] 
JURICH JR  JOSPEH [US] 
MCHALE BRIAN G [GB] 
CANTRELL ROBERT L [US] 
O'BRIEN JOHN J [US] 
JURICH JR  JOSEPH [US]",WALMART APOLLO LLC [US],"US10331123B2 
US2019025817A1",2017-07-20,"G05D1/00 
G06Q10/08 
G07C5/00 
H04L9/06 
H04L9/08 
G01C22/00 
G06F16/27 
G05D3/00 
G06F17/00 
G06F7/00","G05D1/00 (US) 
G05D1/0027 (US) 
G05D1/0088 (US) 
G05D1/104 (EP) 
G06F16/27 (US) 
G06Q10/08 (EP,US) 
G06Q10/083 (EP,US) 
G06Q50/40 (EP,US) 
G07C5/00 (US) 
G07C5/008 (US) 
H04L9/06 (US) 
H04L9/0637 (US) 
H04L9/08 (US) 
H04L9/0825 (EP,US) 
H04L9/3239 (EP,US) 
H04L9/50 (EP) 
H04L2209/84 (EP,US) 
H04L9/50 (US)","2019-01-24 
2019-06-25",2019-01-24,65016151,,2019-01-24,2019-06-25,US10331123B2,"
US2019025817A1","['US', 'WO']","['US10331123B2', 'US2019025817A1', 'US2019259120A1', 'WO2019018337A1']"
46,SYSTEMS AND METHODS FOR CENTRALIZED CONTROL OF AUTONOMOUS VEHICLES,FERREN BRAN [US],APPLIED MINDS LLC [US],"US11899450B2 
US2023176569A1",2016-07-07,"G05D1/00 
B60W50/00 
B60W50/02 
B60W60/00","B60W50/00 (US) 
B60W50/0205 (US) 
B60W60/0053 (US) 
B60W60/0059 (US) 
G05D1/0022 (US) 
G05D1/0038 (US) 
G05D1/0061 (EP) 
G05D1/0088 (EP) 
G05D1/223 (US) 
G05D1/226 (US) 
B60W2050/0064 (US) 
B60W2050/0215 (US) 
B60W2420/403 (US) 
B60W2420/408 (US) 
G05D1/024 (US) 
G05D1/0242 (US) 
G05D1/247 (US)","2023-06-08 
2024-02-13",2018-01-11,60892784,,2023-06-08,2024-02-13,US11899450B2,"
US2023176569A1",['US'],"['US10656640B2', 'US11899450B2', 'US2018011485A1', 'US2020278674A1', 'US2023176569A1', 'US2024184286A1', 'US2024411304A1', 'US2024411305A1']"
47,METHOD AND APPARATUS FOR TESTING SOFTWARE FOR AUTONOMOUS VEHICLES,"STEFAN FREDERIC [DE] 
CHEVALIER ALAIN MARIE ROGER [BE] 
BITSANIS EVANGELOS [DE] 
MARBAIX MICHAEL [BE]",FORD GLOBAL TECH LLC [US],"US10579512B2 
US2017132118A1",2015-11-06,"B60W50/04 
G06F11/36","B60W50/04 (US) 
G01M17/00 (CN) 
G06F11/3668 (EP,US) 
G06F11/3684 (US) 
G06F11/3688 (CN,US) 
G06F11/3696 (CN) 
G06F11/3698 (CN)","2017-05-11 
2020-03-03",2017-05-11,58584979,,2017-05-11,2020-03-03,US10579512B2,"
US2017132118A1","['CN', 'DE', 'US']","['CN106991041A', 'CN106991041B', 'DE102016220670A1', 'US10579512B2', 'US2017132118A1']"
48,Smart Signs for Autonomous Vehicles,"DYER JOHN WESLEY [US] 
NEMEC PHILIP [US] 
NEWBY JOSHUA [US] 
EPSTEIN MICHAEL [US]",WAYMO LLC [US],"US10854085B2 
US2020143690A1",2018-10-10,"G05D1/00 
G06Q50/30 
G08G1/00 
H04L29/08 
H04W12/06 
H04L29/06","B60W60/001 (KR,US) 
G01C21/3438 (KR,US) 
G05D1/0088 (US) 
G06Q50/40 (EP,KR,US) 
G08G1/202 (EP,KR,US) 
H04L67/12 (EP,KR,US) 
H04L67/52 (EP,KR,US) 
H04W12/06 (EP,KR,US) 
H04W12/33 (KR) 
H04W12/63 (KR) 
H04W4/021 (KR) 
H04W4/024 (KR) 
H04W4/027 (KR) 
H04W4/80 (KR) 
B60W2420/408 (KR,US) 
B60W2510/18 (KR,US) 
H04L67/01 (US) 
H04W12/33 (EP) 
H04W12/63 (EP,US) 
H04W4/021 (EP) 
H04W4/024 (EP) 
H04W4/027 (EP) 
H04W4/80 (EP)","2020-05-07 
2020-12-01",2020-01-14,69141016,,2020-05-07,2020-12-01,US10854085B2,"
US2020143690A1","['CN', 'EP', 'JP', 'KR', 'US', 'WO']","['CN112889082A', 'EP3847615A1', 'EP3847615A4', 'JP1670640S', 'JP1687668S', 'JP1687669S', 'JP1722584S', 'JP2022504037A', 'JP7153795B2', 'KR20210055104A', 'US10535271B1', 'US10854085B2', 'US11443634B2', 'US2020143690A1', 'US2021104161A1', 'US2022379914A1', 'USD894020S', 'USD958243S', 'USD958244S', 'USD958245S', 'USD960722S', 'USD995631S', 'WO2020076536A1']"
49,HYBRID DISPATCH METHOD AND SERVER FOR AUTONOMOUS AND MANUALLY-DRIVEN VEHICLES,XIAO JIANXIONG [CN],SHENZHEN ANTU AUTONOMOUS DRIVING TECH LTD [CN],"US12165520B2 
US2022319334A1",2021-03-30,"G06Q50/30 
B60W60/00 
G01C21/34 
G08G1/00 
G06Q50/40","B60W60/00253 (EP,US) 
G01C21/343 (US) 
G01C21/3461 (EP) 
G06Q10/047 (CN) 
G06Q30/0635 (CN) 
G06Q50/40 (EP,CN,US) 
G08G1/202 (EP,US) 
B60W2556/40 (EP,US) 
B60W2556/45 (EP,US)","2022-10-06 
2024-12-10",2021-06-08,76176642,,2022-10-06,2024-12-10,US12165520B2,"
US2022319334A1","['CN', 'US']","['CN112927118A', 'US12165520B2', 'US2022319334A1']"
50,Fleet Maintenance Management for Autonomous Vehicles,"ABARI FARZAD CYRUS FOROUGHI [US] 
FRIEDMAN AARON JACOB LEVINE [US] 
HOUSTON JOHN [US] 
REIS ADAM HART [US] 
STARNS ALEXANDER THOMAS [US]",LYFT INC [US],"US10726644B2 
US2019197798A1",2017-12-22,"G06N99/00 
G05D1/00 
G05D1/02 
G06N5/04 
G07C5/00 
G07C5/08 
G01C22/00 
G06N20/00 
G06Q10/00 
G06Q10/02 
G06Q10/06 
G06Q50/30","G05D1/0088 (US) 
G05D1/0291 (US) 
G06N20/00 (EP,US) 
G06N5/04 (US) 
G06Q10/02 (EP,US) 
G06Q10/063 (EP,US) 
G06Q10/06315 (US) 
G06Q10/20 (EP,US) 
G06Q50/40 (EP,US) 
G07C5/006 (US) 
G07C5/0808 (US)","2019-06-27 
2020-07-28",2019-06-27,66950504,,2019-06-27,2020-07-28,US10726644B2,"
US2019197798A1",['US'],"['US10726644B2', 'US11587373B2', 'US2019197798A1', 'US2021012592A1', 'US2023245510A1']"
51,Indoor deliveries by autonomous vehicles,"BAALKE URIAH JOHN [US] 
BRAUN STAV [US] 
JIN SONIA [US] 
LIM JIA HAO [US]",AMAZON TECH INC [US],US11995599B1,2017-08-31,"G01C21/34 
G01C21/36 
G05D1/00 
G06Q10/083 
G06F3/04817","G01C21/206 (EP) 
G01C21/3407 (EP,US) 
G01C21/3453 (EP,US) 
G01C21/3688 (US) 
G01C21/3691 (US) 
G05D1/0212 (US) 
G05D1/0217 (US) 
G05D1/0246 (EP) 
G05D1/0274 (EP,US) 
G05D1/0276 (US) 
G05D1/0278 (EP) 
G05D1/0291 (US) 
G06Q10/083 (EP,US) 
G06Q10/08355 (EP,US) 
G06Q10/087 (EP,US) 
G06F3/04817 (US)",2024-05-28,2022-01-11,79169306,,2024-05-28,,US11995599B1,,['US'],"['US11222299B1', 'US11232391B1', 'US11995599B1']"
52,TECHNOLOGIES FOR VEHICLE-TO-VEHICLE COMMUNICATIONS FOR AUTONOMOUS VEHICLES,"SIVANESAN KATHIRAVETPILLAI [US] 
FOUAD YASER [US] 
SHARMA BANJADE VESH RAJ [US] 
JHA SATISH [US] 
MUMTAZ SAMI [MX]",INTEL CORP [US],"US11158194B2 
US2019251848A1",2019-03-29,"G05D1/02 
G08G1/00 
H04W4/08 
H04W4/46 
H04W76/14 
H04W84/00","G05D1/021 (US) 
G05D1/0293 (US) 
G08G1/22 (EP,US) 
H04L5/0048 (EP) 
H04W4/08 (US) 
H04W4/46 (EP,US) 
H04W48/16 (EP) 
H04W76/14 (US) 
H04W76/27 (EP) 
H04W84/00 (US) 
H04L5/0007 (EP) 
H04W28/16 (EP) 
H04W48/12 (EP) 
H04W74/08 (EP) 
H04W84/18 (EP) 
H04W84/20 (EP)","2019-08-15 
2021-10-26",2019-08-15,67541817,,2019-08-15,2021-10-26,US11158194B2,"
US2019251848A1","['DE', 'US']","['DE102020106727A1', 'US11158194B2', 'US2019251848A1']"
53,DISTRIBUTED COMMUNICATION OF INDEPENDENT AUTONOMOUS VEHICLES TO PROVIDE REDUNDANCY AND PERFORMANCE,"LIU DONGXIA [US] 
LEI HAIRONG [US] 
ABHYANKER RAJ [US]","LIU DONGXIA [US] 
LEI HAIRONG [US] 
ABHYANKER RAJ [US] 
LEGALFORCE INC [US]","US2016021178A1 
US9451020B2",2014-07-18,"H04L12/24 
H04L29/08 
H04W76/02 
H04W84/18","H04L41/06 (US) 
H04L43/0811 (EP,US) 
H04L67/12 (EP,US) 
H04W4/021 (EP,US) 
H04W4/029 (US) 
H04W4/44 (US) 
H04W76/10 (US) 
H04W76/14 (EP,US) 
H04L69/40 (EP,US) 
H04W4/08 (EP,US) 
H04W4/80 (EP,US) 
H04W84/18 (EP,US)","2016-01-21 
2016-09-20",2016-01-21,55075587,,2016-01-21,2016-09-20,US2016021178A1,"
US9451020B2",['US'],"['US2016021178A1', 'US9451020B2']"
54,FAILOVER SYSTEM FOR AUTONOMOUS VEHICLES,"UHLIG VOLKMAR [US] 
HAYES JOHN [US] 
CARROLL AARON [US]","GHOST LOCOMOTION INC [US] 
GHOST AUTONOMY INC [US]","US12065156B2 
US2022371607A1",2021-05-24,"B60W50/02 
B60W50/029 
B60W50/14 
B60W60/00","B60W50/0205 (EP,US) 
B60W50/029 (EP,US) 
B60W50/14 (EP,US) 
B60W60/00186 (EP) 
B60W60/0053 (EP,US) 
B60W2050/0006 (EP) 
B60W2050/0292 (EP,US)","2022-11-24 
2024-08-20",2022-11-24,84104432,,2022-11-24,2024-08-20,US12065156B2,"
US2022371607A1",['US'],"['US12065156B2', 'US2022371607A1']"
