Title,Inventors,Applicants,first filing year,earliest priority year,IPC,CPC,first publication country
Charge-status display system for an electric vehicle,SUYAMA KOUICHI [JP],HONDA MOTOR CO LTD [JP],1997,1992,"['G01N27/416', 'G08B21/00', 'H02J7/00', 'B60L11/18', 'G01R31/36', 'H02J7/00', 'H02J7/02', 'H04Q9/00', 'G01R31/00']","['B60L3/0069 (EP,US)', 'B60L3/04 (EP,US)', 'B60L50/51 (EP,US)', 'B60L53/14 (EP,US)', 'B60L53/68 (EP,US)', 'B60L58/12 (EP,US)', 'G01R31/3648 (EP,US)', 'G01R31/3842 (EP,US)', 'H02J7/0048 (EP,US)', 'B60L2210/12 (EP,US)', 'B60L2250/16 (EP,US)', 'G01R31/006 (EP,US)', 'G01R31/371 (EP,US)', 'G01R31/374 (EP,US)', 'H02J7/0047 (EP,US)', 'H02J7/0049 (EP,US)', 'Y02T10/70 (EP,US)', 'Y02T10/7072 (EP,US)', 'Y02T10/72 (EP,US)', 'Y02T90/12 (EP,US)', 'Y02T90/14 (EP,US)', 'Y02T90/16 (EP,US)', 'Y02T90/167 (EP,US)', 'Y04S30/12 (EP,US)', 'Y10S320/13 (EP,US)', 'Y10S320/19 (EP,US)']",US
"HYDROGEN FUEL ELECTRIC VEHICLE, AND MANAGEMENT METHOD AND SYSTEM FOR HYDROGEN FUEL ELECTRIC VEHICLE","SUN XIANG [CN] 
CEN JIAN [CN] 
QIAN CHENG [CN]",YOUON TECH CO LTD [CN],2022,2021,"['B60L58/30', 'H01M8/04313']","['B60L58/30 (CN)', 'H01M8/04156 (CN)', 'H01M8/04302 (CN)', 'Y02E60/50 (EP)', 'Y02T10/70 (EP)', 'Y02T90/40 (EP)']",WO
ELECTRIC VEHICLE,"SAKAMOTO KENJI 
KUSHIBE TETSUAKI",TOYODA AUTOMATIC LOOM WORKS,1990,1988,"['B60L11/18', 'H01M8/00', 'B60L11/18', 'H01M8/00', 'H01M8/04', 'H01M16/00']","['B60L1/003 (EP)', 'B60L58/12 (EP,US)', 'B60L58/40 (EP)', 'H01M16/006 (EP)', 'H01M8/04373 (EP,US)', 'H01M8/04567 (EP)', 'H01M8/04597 (EP)', 'H01M8/04753 (EP)', 'H01M8/0494 (EP)', 'H01M8/04955 (EP)', 'B60L2210/10 (EP)', 'B60L2240/545 (EP)', 'B60L2240/547 (EP)', 'B60L2240/549 (EP)', 'Y02E60/10 (EP)', 'Y02E60/50 (EP)', 'Y02T10/70 (EP)', 'Y02T10/72 (EP)']",JP
Battery condition monitoring system and method for electric vehicle,FAN QINGKE,ZHEJIANG AGRICULTURAL BUSINESS COLLEGE,2017,2017,"['B60L11/00', 'B60L11/18', 'B60L3/00', 'B60R16/023', 'C25B1/04', 'C25B9/00']","['B60L3/0046 (CN)', 'B60L50/40 (CN)', 'B60L53/60 (CN)', 'B60L58/10 (CN)', 'B60L58/16 (CN)', 'B60R16/0232 (CN)', 'C25B1/04 (CN)', 'C25B9/00 (CN)', 'Y02E60/36 (EP)', 'Y02P20/133 (EP)', 'Y02T10/70 (EP)', 'Y02T10/7072 (EP)', 'Y02T90/12 (EP)', 'Y02T90/16 (EP)']",CN
NICKEL-HYDROGEN BATTERY FOR ELECTRIC VEHICLE,"KISHIMOTO NORIYOSHI 
HINO YUZO 
ITO TAKASHI 
OSHITANI MASAHIKO 
SATO NOBORU 
YAGI KAZUHIKO","YUASA BATTERY CO LTD 
HONDA MOTOR CO LTD",2000,1998,"['B60L11/18', 'H01M10/30', 'B60L11/18', 'H01M10/30']","['Y02E60/10 (EP)', 'Y02T10/70 (EP)']",JP
Automatic charging device of motor battery module,WENLE CHEN,WENLE CHEN,2012,2011,['H02N11/00'],['unkown)'],CN
Rapid Energy Recharge System for a Battery Electric Vehicle,RAGHAVAN MADHUSUDAN [US],"RAGHAVAN MADHUSUDAN [US] 
GM GLOBAL TECH OPERATIONS INC [US]",2012,2011,"['H02J7/00', 'B60K6/20', 'H02J15/00']","['H02J7/00 (EP,US)', 'H02J15/003 (EP,US)', 'H02J15/006 (EP,US)', 'H02J2310/48 (EP)']",US
Scheduling method and system for electricity-hydrogen integrated charging station of new energy automobile,"YANG JIE 
YUE ZHIYUAN 
MA KAI 
LIU WEI 
GUO SHILIANG 
YUAN YAZHOU",UNIV YANSHAN,2022,2022,"['H02J15/00', 'H02J3/00', 'H02J3/06', 'H02J3/32', 'H02J3/38']","['H02J15/008 (CN)', 'H02J3/008 (CN)', 'H02J3/06 (CN)', 'H02J3/322 (CN)', 'H02J3/38 (CN)', 'H02J2300/30 (CN)']",CN
Battery management system of electric vehicle and battery management method of electric vehicle,"LI ZHI 
LIU BO 
LUO GUOZHOU",HEADSUN TECH CO LTD,2018,2018,"['B60L3/00', 'B60L3/04', 'B60L58/10']","['B60L3/0046 (CN)', 'B60L3/04 (CN)', 'B60L58/10 (CN)', 'B60L58/18 (CN)', 'B60L58/21 (CN)', 'B60L2240/545 (CN)', 'B60L2240/547 (CN)', 'B60L2240/549 (CN)', 'Y02T10/70 (EP)']",CN
Fuel pressure-based power supply method and system of hydrogen fuel cell stack and hydrogen fuel electric vehicle,"LU MINMIN 
QIAN CHENG 
CEN JIAN 
ZE WEIJIE 
MA QIAN",YOUON TECH CO LTD,2021,2021,"['B60L58/30', 'H01M10/44', 'H01M8/0438']","['B60L58/30 (CN)', 'H01M10/44 (CN)', 'H01M8/04388 (CN)', 'H01M2250/20 (CN)', 'Y02E60/10 (EP)', 'Y02E60/50 (EP)', 'Y02T90/40 (EP)']",CN
Pure electric vehicle traction type motor home power supply equipment,WANG FUYI,SANCHUANG LIANMENG CANGZHOU LINGANG TECH CO LTD,2022,2022,"['B60L53/14', 'B60L53/16', 'B60P3/32', 'B60R16/03', 'B62D53/00']","['B60L53/14 (CN)', 'B60L53/16 (CN)', 'B60P3/32 (CN)', 'B60R16/03 (CN)', 'B60R16/0307 (CN)', 'B60R16/0315 (CN)', 'B62D53/00 (CN)', 'Y02T10/72 (EP)']",CN
Hydrogen fuel cell journey-increasing electric vehicle and display device thereof,CHENG YAN,BEIQI FOTON MOTOR CO LTD,2015,2014,['B60K35/00'],['unkown)'],CN
Hydrogen fuel battery electric vehicle system,"ZHOU GENGXIN 
ZHOU LINGYAN 
ZHANG XIUYING",ZHOU GENGXIN,2018,2018,"['B60K1/00', 'B60K1/02', 'B60K15/03', 'B60L7/10', 'B60R16/03', 'H02J7/14', 'H02K7/18']","['B60K1/00 (CN)', 'B60K1/02 (CN)', 'B60K15/03 (CN)', 'B60L7/10 (CN)', 'B60R16/0307 (CN)', 'H02J7/1415 (CN)', 'H02K7/18 (CN)', 'B60K2001/005 (CN)', 'Y02T10/64 (EP)', 'Y02T10/70 (EP)', 'Y02T10/92 (EP)', 'Y02T90/167 (EP)', 'Y04S30/12 (EP)']",CN
TEMPERATURE CONTROL SYSTEM AND METHOD FOR POWER BATTERY PACK OF ELECTRIC VEHICLE,XIANG HUA [CN],GUANGDONG HYDROGEN ENERGY SCIENCE & TECH CO LTD [CN],2017,2016,"['H01M10/615', 'H01M10/625', 'H01M10/6561']","['H01M10/615 (EP)', 'H01M10/625 (EP)', 'H01M10/6561 (EP)', 'Y02E60/10 (EP)']",WO
CHARGING/DISCHARGING CONTROL DEVICE FOR NICKEL HYDROGEN BATTERY,"KINOSHITA NAOKI 
ARAKI KAZUHIRO 
ISHIKURA YOSHIJI 
OKAMOTO KAZUHISA",HONDA MOTOR CO LTD,2003,2002,"['G01R31/36', 'H01M10/44', 'H01M10/48', 'H01M10/50', 'H02J7/00', 'G01R31/36', 'H01M10/44', 'H01M10/48', 'H01M10/60', 'H01M10/613', 'H01M10/625', 'H01M10/633', 'H01M10/635', 'H01M10/6556', 'H01M10/6567', 'H01M10/66', 'H02J7/00']",['Y02E60/10 (EP)'],JP
"Control system and method for hydrogen fuel cell in vehicle, and electric vehicle","LUO SHEN 
LIN SHAOWEN 
SU LI 
LIN HONGDONG 
LI FEI 
WANG JIANMING 
CHEN GUANGHOU","GUANGDONG POWER GRID CO 
ZHONGSHAN POWER SUPPLY BUREAU GUANGDONG POWER GRID CO",2021,2021,"['B60L58/12', 'B60L58/30', 'B60L58/40', 'H01M8/04537', 'H01M8/04858', 'H01M8/04992']","['B60L58/12 (CN)', 'B60L58/30 (CN)', 'B60L58/40 (CN)', 'H01M8/04619 (CN)', 'H01M8/0494 (CN)', 'H01M8/04992 (CN)', 'Y02E60/50 (EP)', 'Y02T10/70 (EP)', 'Y02T90/40 (EP)']",CN
BATTERY CHARGING/DISCHARGING CONTROLLER AND CONTROL METHOD,"YOSHIDA KAZUHIKO 
MAKINO TASUKE 
NAKAMURA SATOSHI 
TOSHIMA KAZUO 
IWASE MASAYOSHI","NIPPON SOKEN 
TOYOTA MOTOR CORP",2000,1999,"['B60L11/18', 'G01N27/26', 'G01N27/41', 'H01M10/44', 'H01M10/48', 'H02J7/00', 'B60L11/18', 'G01N27/26', 'G01N27/41', 'H01M10/44', 'H01M10/48', 'H02J7/00']","['Y02E60/10 (EP)', 'Y02T10/70 (EP)']",JP
COMMUNICATION SYSTEMS AND METHODS FOR HYDROGEN FUELING AND ELECTRIC CHARGING,"BOISEN JESPER NISSEN [DK] 
GAMBONE LIVIO RICHARD [US] 
GRABOVSKIJ GRIGORIJ J [DE] 
SCHNEIDER JESSE MICHAEL [US] 
SVENDSEN JACOB APPELT VIBE [DK] 
VIG BJARNE [DK]","NIKOLA CORP [US] 
NEL HYDROGEN AS [DK]",2020,2019,"['B60L50/71', 'B60L53/66', 'B60S5/02', 'B67D7/32', 'H04B5/00', 'H04W4/40', 'H04W76/10']","['B60L3/0053 (EP)', 'B60L50/71 (KR,US)', 'B60L53/66 (KR,US)', 'B60L58/30 (EP,KR)', 'B60S5/02 (KR,US)', 'B67D7/04 (US)', 'B67D7/3218 (KR,US)', 'B67D7/3281 (KR,US)', 'F17C5/06 (KR)', 'H04B5/20 (EP,KR)', 'H04B5/70 (EP,KR)', 'H04B5/72 (US)', 'H04B5/77 (KR)', 'H04W4/40 (EP,KR,US)', 'H04W4/80 (EP,KR,US)', 'H04W76/10 (US)', 'B60L2240/36 (KR,US)', 'F17C2205/05 (EP,KR)', 'F17C2205/058 (EP,KR)', 'F17C2221/012 (EP,KR)', 'F17C2223/0123 (EP,KR)', 'F17C2223/036 (EP,KR)', 'F17C2250/034 (EP,KR)', 'F17C2265/065 (EP,KR)', 'F17C2270/0139 (EP,KR)', 'H04W4/44 (EP)', 'H04W4/46 (EP)', 'Y02E60/32 (EP,KR)', 'Y02T10/70 (EP)', 'Y02T10/7072 (EP)', 'Y02T90/12 (EP)', 'Y02T90/16 (EP)', 'Y02T90/167 (KR)', 'Y02T90/40 (EP,KR)']",US
Traction type recreational vehicle power supply equipment of hybrid electric vehicle,ZHOU HAI,SANCHUANG LIANMENG CANGZHOU LINGANG TECH CO TLD,2021,2021,"['B60P3/36', 'B60R16/033', 'H02J7/35']","['B60P3/36 (CN)', 'B60R16/033 (CN)', 'H02J7/35 (CN)', 'Y02B10/10 (EP)']",CN
Electric vehicle charging pile based on solar power generation,"LI MEICHUAN 
FENG LANSHENG",XI AN BOYU GREEN ENERGY CO LTD,2015,2014,['H02J7/00'],['unkown)'],CN
Electric vehicle charging station based on electricity generation by reforming hydrogen production fuel cells,ZHANG DING,LIXING HYDROGEN TECH CO LTD,2020,2019,"['B60L53/30', 'B60L53/54', 'B60L53/60', 'H01M8/0612']","['B60L53/30 (CN)', 'B60L53/54 (CN)', 'B60L53/60 (CN)', 'H01M8/0618 (CN)', 'Y02E60/50 (EP)', 'Y02T10/70 (EP)', 'Y02T10/7072 (EP)', 'Y02T90/12 (EP)']",CN
Solar energy generation-based electric vehicle charging pile,"LI MEICHUAN 
FENG LANSHENG",XI'AN BOYU GREEN ENERGY CO LTD,2016,2014,['H02J7/00'],['unkown)'],CN
MOBILE ELECTRIC VEHICLE CHARGING STATION SYSTEM,GOEI ESMOND [US],POWER HERO CORP [US],2022,2018,"['G06Q10/10', 'B60L53/53', 'B60L53/66', 'B60L53/67', 'B60L53/68', 'G05B13/02', 'G08G1/00', 'G06Q10/1093', 'H02J7/00', 'H02J7/14', 'H04L67/12']","['B60L53/305 (EP)', 'B60L53/53 (US)', 'B60L53/63 (EP)', 'B60L53/665 (US)', 'B60L53/67 (EP,US)', 'B60L53/68 (EP,US)', 'G05B13/0265 (US)', 'G06Q10/1095 (EP,US)', 'G08G1/202 (EP,US)', 'B60L2240/80 (EP)', 'H04L67/12 (EP,US)', 'Y02E10/50 (EP)', 'Y02E60/00 (EP)', 'Y02T10/70 (EP)', 'Y02T10/7072 (EP)', 'Y02T90/12 (EP)', 'Y02T90/16 (EP)', 'Y02T90/167 (EP)', 'Y04S10/126 (EP)']",US
Automatic charging device for electric vehicle battery module,CHEN WENLE,CHEN WENLE,2013,2011,"['B60L11/18', 'H02J7/00']",['Y02T10/70 (EP)'],CN
BATTERY MANAGING DEVICE FOR ELECTRIC VEHICLE,"ARAI YOICHI 
SAIGO TSUTOMU 
ENOMOTO MICHIHITO",YAZAKI CORP,2000,1998,"['B60L3/00', 'H01M10/48', 'H01M10/50', 'B60L3/00', 'H01M10/48', 'H01M10/60', 'H01M10/613', 'H01M10/625', 'H01M10/6563']",['Y02E60/10 (EP)'],JP
Power supply duration-based power supply method and system for hydrogen fuel cell stack and hydrogen fuel electric vehicle,"LU MINMIN 
QIAN CHENG 
CEN JIAN 
ZE WEIJIE 
MA QIAN",YOUON TECH CO LTD,2021,2021,"['B60L58/30', 'H01M10/44', 'H01M8/04537']","['B60L58/30 (CN)', 'H01M10/44 (CN)', 'H01M8/04619 (CN)', 'H01M2250/20 (CN)', 'Y02E60/10 (EP)', 'Y02E60/50 (EP)', 'Y02T90/40 (EP)']",CN
NICKEL-HYDROGEN STORAGE BATTERY AND HYBRID ELECTRIC VEHICLE,"NIIYAMA KATSUHIKO 
KIYOKU YOSHIFUMI 
KUMAGAI KIYOSHI 
TANAKA TADAYOSHI 
NAKAMURA HIROSHI",SANYO ELECTRIC CO,2005,2003,"['B60L11/18', 'H01M10/30', 'H01M4/32', 'B60L11/18', 'H01M10/30', 'H01M4/32']","['Y02E60/10 (EP)', 'Y02T10/70 (EP)']",JP
Extended-range electric vehicle power assembly system,"HE ZHENHUA 
XU JIXIANG 
XU HAOYAO",UNIV WUHAN TECH,2023,2022,"['B60L50/60', 'B60L50/70']",['Y02T10/70 (EP)'],CN
Double dynamical hydrogen energy charging system of electric automobile,"LI XIN 
PEI JING 
LI LEI",GUOKEGONGXIN BEIJING NEW ENERGY SCIENCE INST,2018,2017,"['B60K1/02', 'B60L11/18']",['Y02T10/70 (EP)'],CN
Method and device for configuring capacity of light hydrogen storage comprehensive charging station equipment,"WANG MIN 
DONG XIAOBIN 
ZHOU TAO 
ZHAI YOUCHUN",RIVER AND SEA UNIV,2022,2022,"['C25B1/04', 'C25B9/00', 'G06F30/20', 'G06Q10/04', 'G06Q10/06', 'G06Q50/06', 'H02J3/28', 'H02J3/32', 'H02J3/38', 'H02J7/00', 'H02J7/32', 'H02J7/35']","['C25B1/04 (CN)', 'C25B9/00 (CN)', 'G06F30/20 (CN)', 'G06Q10/04 (CN)', 'G06Q10/06313 (CN)', 'G06Q10/06315 (CN)', 'G06Q50/06 (CN)', 'H02J3/28 (CN)', 'H02J3/32 (CN)', 'H02J3/381 (CN)', 'H02J7/0048 (CN)', 'H02J7/0068 (CN)', 'H02J7/32 (CN)', 'H02J7/35 (CN)', 'G06F2111/04 (CN)', 'G06F2119/06 (CN)', 'G06F2119/08 (CN)', 'H02J2203/20 (CN)', 'H02J2300/22 (CN)', 'H02J2300/30 (CN)', 'H02J2300/40 (CN)', 'Y02T90/12 (EP)']",CN
SUPPLY STATION AND METHOD CAPABLE OF CHARGING ELECTRICITY AND FILLING WITH HYDROGEN GAS SIMULTANEOUSLY OR SEPARATELY,"PICKLES JEFF [US] 
KU ANTHONY [US] 
LI XIANMING JIMMY [US] 
SINGH SURINDER [US] 
ALLEN JEFF [US]","CHINA ENERGY INVESTMENT CORP LTD [CN] 
NAT INST CLEAN & LOW CARBON ENERGY [CN]",2021,2018,"['B60L50/75', 'B60L53/30', 'B60L53/53', 'B60L53/54', 'F17D1/04', 'H02J7/02']","['B60L50/75 (US)', 'B60L53/30 (EP,US)', 'B60L53/53 (EP,US)', 'B60L53/54 (EP,US)', 'F17D1/04 (CN,US)', 'F17D3/01 (CN)', 'H02J15/008 (EP)', 'H02J7/02 (EP,US)', 'F17C2221/012 (EP)', 'F17C2223/0123 (EP)', 'F17C2223/036 (EP)', 'F17C2225/0123 (EP)', 'F17C2225/036 (EP)', 'F17C2265/04 (EP,US)', 'F17C2265/065 (US)', 'F17C2270/0139 (EP,US)', 'F17C5/06 (EP,US)', 'Y02E60/32 (EP,US)', 'Y02E60/34 (EP)', 'Y02E60/36 (EP,US)', 'Y02E70/30 (EP,US)', 'Y02T10/70 (EP)', 'Y02T10/7072 (EP)', 'Y02T90/12 (EP,US)', 'Y02T90/16 (EP)', 'Y02T90/40 (EP,US)']",US
ELECTRIC VEHICLE,"MIZUSHITA YOSHINORI 
SHEN HAO 
TAKEI RIKI 
YAMAURA KIYOSHI",MITSUBISHI MOTORS CORP,2024,2023,"['B60L50/75', 'B60L58/13', 'B60L58/40', 'H01M8/00', 'H01M8/04228', 'H01M8/04303', 'H01M8/0438', 'H01M8/04537', 'H01M8/04694', 'H01M8/04858']",['Y02E60/50 (EP)'],JP
Power bank for electric vehicle,WANG CIBO,WANG CIBO,2019,2019,"['B60L53/54', 'B60L53/62']","['Y02T10/70 (EP)', 'Y02T10/7072 (EP)', 'Y02T90/12 (EP)']",CN
Real-time four-wheel driven water-hydrogen electric vehicle,"XIANG HUA 
XIANG SHENGLI",GUANGDONG HYDROGEN ENERGY SCIENCE & TECH CO LTD,2018,2016,"['B60L11/18', 'H01M8/0612']","['B60L58/30 (CN)', 'H01M8/0618 (CN)', 'Y02E60/50 (EP)', 'Y02T10/70 (EP)', 'Y02T90/40 (EP)']",CN
ALKALINE BATTERY CHARGING DEVICE,"SAKAGAMI YUICHI 
KAWAI TOSHIYUKI 
KATO TOMOYA","NIPPON SOKEN 
DENSO CORP",1999,1997,"['H01M10/44', 'H01M10/44']",['Y02E60/10 (EP)'],JP
Electric automobile with hydrogen energy charging device,"LI XIN 
PEI JING 
LI LEI",GUOKEGONGXIN BEIJING NEW ENERGY SCIENCE INST,2018,2017,['B60L11/18'],['Y02T10/70 (EP)'],CN
Self-Charging Battery System for Electric Vehicles,"WERTZ BRUCE DOUGLAS [US] 
TRIMBLE MONTY CHARLES [US]",SELF CHARGE EV SYSTEMS LLC [US],2024,2023,"['B60K15/03', 'B60K6/26', 'B60K6/28', 'B60K6/46', 'B60L50/62', 'B60L53/51']","['B60K15/03 (EP,US)', 'B60K6/26 (US)', 'B60K6/28 (US)', 'B60K6/46 (US)', 'B60L50/62 (EP,US)', 'B60L53/51 (EP,US)', 'B60L8/003 (EP)', 'B60K2015/03315 (EP,US)', 'B60Y2200/92 (EP,US)', 'B60Y2300/91 (EP,US)', 'B60Y2400/102 (EP,US)', 'B60Y2400/106 (EP,US)', 'B60Y2400/112 (EP,US)', 'B60Y2400/216 (EP,US)']",US
Charging system and method of electric vehicle based on wireless charging,"WU SIJUN 
XIE SHUIYING 
GAO LONGSHI",ZHEJIANG IND POLYTECHNIC COLLEGE,2017,2017,['B60L11/18'],"['B60L53/12 (CN)', 'B60L53/51 (CN)', 'B60L53/52 (CN)', 'B60L53/54 (CN)', 'B60L53/60 (CN)', 'Y02T10/70 (EP)', 'Y02T10/7072 (EP)', 'Y02T90/12 (EP)', 'Y02T90/14 (EP)', 'Y02T90/16 (EP)']",CN
Fuel cell electric vehicle,"LI TIANRUI 
WEI YAJUAN 
SONG ZONGNAN 
YANG JIE 
WANG SHAOTING",BEIQI FOTON MOTOR CO LTD,2016,2015,"['B60K1/00', 'B60K1/04', 'B60L11/18', 'B60R16/02', 'B62D21/02']",['unkown)'],CN
Auxiliary simulation device for electric vehicle power battery voltage balance teaching,"CHEN SHANQIU 
FAN JIANWEN 
FANG RUILIAN 
JIANG ZONGJUN 
FENG CIHANG 
CHEN CHUNLIN 
ZHAO HAIJING 
XIE YIJIE",LUSHAN COLLEGE GUANGXI UNIV SCIENCE & TECHNOLOGY,2018,2018,['G09B23/18'],['G09B23/188 (CN)'],CN
AUXILIARY RANGE EXTENSION FOR BATTERY ELECTRIC VEHICLE,BURCHETT CHAD [US],"VOLVO TRUCK CORP [SE] 
BURCHETT CHAD [US]",2022,2021,"['B60L50/10', 'B60L50/60', 'B60L50/61', 'B60L58/10', 'B60L58/12', 'B60L58/18', 'B60L7/00']","['B60L50/10 (EP)', 'B60L50/60 (EP)', 'B60L50/61 (EP)', 'B60L58/10 (EP)', 'B60L58/12 (EP)', 'B60L58/18 (EP)', 'B60L7/00 (EP)', 'B60L2200/28 (EP)', 'B60L2200/36 (EP)']",WO
CHARGE CONTROL DEVICE AND CHARGING SYSTEM,GOTO IKURO,SUBARU CORP,2018,2017,"['B60K8/00', 'B60L11/18', 'H02J7/00']",['Y02T10/70 (EP)'],JP
Heat management method for fuel battery and lithium battery hybrid electric vehicle with liquid hydrogen as gas source,"JI CHANGWEI 
BAI YONGYI 
WANG SHUOFENG 
NIU HUIPENG",UNIV BEIJING TECHNOLOGY,2020,2019,"['B60L58/34', 'H01M10/613', 'H01M10/615', 'H01M10/625', 'H01M10/66', 'H01M8/04029', 'H01M8/04223']","['B60L58/34 (CN)', 'H01M10/613 (CN)', 'H01M10/615 (CN)', 'H01M10/625 (CN)', 'H01M10/66 (CN)', 'H01M8/04029 (CN)', 'H01M8/04268 (CN)', 'Y02E60/10 (EP)', 'Y02E60/50 (EP)', 'Y02T90/40 (EP)']",CN
FIRE EXTINGUISHING DEVICE FOR ELECTRIC VEHICLE BATTERIES,KANG HIE CHAN [KR],NAT UNIV KUNSAN IACF [KR],2024,2022,['A62C3/07'],"['A62C3/07 (EP,US)', 'A62C3/16 (EP)', 'A62C35/62 (EP)']",US
Space-time combined operation optimization method for wind-light-hydrogen storage and charging comprehensive energy,"ZHAO HAORAN 
LI HAORAN 
QIAN XIAOYI 
WANG RUIQI 
LIU SHUAI 
MA DAZHONG",UNIV SHANDONG,2024,2024,"['B60L53/63', 'B60L53/68', 'G06F30/15', 'G06F30/27', 'G06N3/044', 'G06N3/0464', 'G06N3/084', 'G06F119/06']","['B60L53/63 (CN)', 'B60L53/68 (CN)', 'G06F30/15 (CN)', 'G06F30/27 (CN)', 'G06N3/044 (CN)', 'G06N3/0464 (CN)', 'G06N3/084 (CN)', 'G06F2119/06 (CN)']",CN
Electric vehicle battery fire monitoring and early warning method based on dynamic data,"HUANG GUOZHONG 
WANG YU 
OU SHENGNAN 
ZHANG DINGLI 
GUO ZHAOMIN",UNIV BEIJING SCIENCE & TECH,2021,2021,"['G01R31/00', 'G01R31/36', 'G01R31/382', 'G01R31/3842', 'G01R31/385']","['G01R31/006 (CN)', 'G01R31/3646 (CN)', 'G01R31/382 (CN)', 'G01R31/3842 (CN)', 'G01R31/385 (CN)']",CN
Hybrid electric vehicle having alternate power sources,"MEANEY DANIEL J [US] 
MEANEY JR DANIEL J [US]","MEANEY DANIEL J [US] 
MEANEY JR DANIEL J [US]",2003,1999,"['B60K1/00', 'B60K6/00', 'B60K6/22', 'B60K6/24', 'B60K6/32', 'B60K1/04', 'F02M21/06', 'H01M16/00']","['B60K6/22 (EP,US)', 'B60K6/24 (EP,US)', 'B60K6/32 (EP,US)', 'F02D19/0644 (EP,US)', 'F02D19/0671 (EP,US)', 'H01M16/006 (EP,US)', 'B60K1/04 (EP,US)', 'F02M21/06 (EP,US)', 'Y02E60/10 (EP)', 'Y02E60/50 (EP)', 'Y02T10/30 (EP,US)', 'Y02T10/62 (EP,US)', 'Y02T90/40 (EP,US)', 'Y10S903/904 (EP,US)', 'Y10S903/905 (EP,US)', 'Y10S903/908 (EP,US)']",US
Remove storage battery car based on hydrogen cell group charges,SHA DEFU,CHEJIXIU AUTOMOBILE TECH CO LTD,2017,2017,"['B60L11/18', 'B60P3/00', 'B60P3/14', 'H02J7/00']","['Y02T10/70 (EP)', 'Y02T90/16 (EP)']",CN
Multifunctional off-grid type charging pile using methanol as fuel,"GUO ANZHUO 
ZHANG XUYAN 
LI HANGWEI 
LIU MINGWEI 
LIANG ZHIPING 
MA XUAN 
LI LING",SJZ-HANTREND ENERGY TECH CO LTD,2016,2016,['B60L11/18'],"['B60L58/40 (CN)', 'Y02T10/70 (EP)']",CN
Water-hydrogen electric vehicle,"XIANG HUA 
LIANG WANGUANG 
MA YONGFENG",GUANGDONG HYDROGEN ENERGY SCIENCE & TECH CO LTD,2018,2016,"['B60L11/18', 'H01M8/0612', 'H01M8/22']","['B60L50/72 (CN)', 'B60L58/33 (CN)', 'B60L58/34 (CN)', 'H01M8/0618 (CN)', 'H01M8/22 (CN)', 'Y02E60/50 (EP)', 'Y02T10/70 (EP)', 'Y02T90/16 (EP)', 'Y02T90/167 (EP)', 'Y02T90/40 (EP)', 'Y04S30/12 (EP)']",CN
Full-time four-wheel-drive water hydrogen electric vehicle,"XIANG HUA 
LI WENXIA",GUANGDONG HYDROGEN ENERGY SCIENCE & TECH CO LTD,2018,2016,"['B60K6/32', 'H01M8/0612']","['B60K6/32 (CN)', 'H01M8/0618 (CN)', 'H01M2250/20 (CN)', 'Y02E60/50 (EP)', 'Y02T90/40 (EP)']",CN
Solar charging device and electric vehicle charging equipment,"WU DAN 
LI YONGZHEN",BEIJING BOYANG DINGRONG PV TECH CO LTD,2019,2018,"['H02J7/00', 'H02J7/35']",['unkown)'],CN
Fuel cell system for charging electric vehicle batteries,LEE WOONG MOO [KR],PAHPS [KR],2017,2017,"['B60K1/04', 'B60L11/18', 'H01M8/04298', 'H01M8/0612', 'H01M8/0662']","['B60L50/50 (KR)', 'B60L58/30 (KR)', 'H01M8/04089 (KR)', 'H01M8/04201 (KR)', 'H01M8/04947 (KR)', 'H01M8/0618 (KR)', 'H01M8/0662 (KR)', 'H01M8/0687 (KR)', 'H01M2250/20 (KR)', 'Y02E60/50 (EP)', 'Y02T10/70 (EP)', 'Y02T90/40 (EP)']",KR
Water hydrogen hydrogenation charging station,LI KUNCHUN,LI KUNCHUN,2018,2017,"['H01M8/0656', 'H02J7/00']",['Y02E60/50 (EP)'],CN
Electric automobile charging pile with standby battery,XIANG HUA,GUANGZHOU CITY MOBILE TECH CO LTD,2018,2016,"['B60L11/18', 'H01M8/0612']","['B60L53/00 (CN)', 'B60L53/31 (CN)', 'B60L58/30 (CN)', 'H01M8/0618 (CN)', 'Y02E60/50 (EP)', 'Y02T10/70 (EP)', 'Y02T10/7072 (EP)', 'Y02T10/92 (EP)', 'Y02T90/12 (EP)', 'Y02T90/14 (EP)', 'Y02T90/40 (EP)']",CN
Hydrogen energy station capable of meeting charging and metal hydride replacing requirements,JIA HUIPING,SHIJIAZHUANG XINHUA ENERGY ENVIRONMENTAL TECH CO LTD,2017,2017,"['B60L11/18', 'F02B43/10', 'F02B63/04', 'F17C11/00', 'F17C13/00', 'B60L53/31', 'B60L53/54']","['B60L53/31 (CN)', 'F02B43/10 (CN)', 'F02B63/04 (CN)', 'F17C11/005 (CN)', 'F17C13/00 (CN)', 'F17C2221/012 (CN)', 'F17C2225/0123 (CN)', 'F17C2265/07 (CN)', 'Y02E60/32 (EP)', 'Y02T10/30 (EP)', 'Y02T10/70 (EP)', 'Y02T10/7072 (EP)', 'Y02T90/12 (EP)']",CN
