,position,title,data_cid,link,publication,snippet,type,inline_links,resource,authors
24,5,Multi-PDF GPT generative question and answering system powered by googlePalm2 and langchain,9EiPSvlGdAEJ,https://books.google.com/books?hl=en&lr=&id=JDhEEQAAQBAJ&oi=fnd&pg=PA179&dq=Langchain&ots=ZnYxovKNae&sig=FZ4QUcy5NpQ1h8na-wfn-Xoqd4w,"RR Vincent, GSG Prasad, JN Khan… - Data Science & …, 2025 - books.google.com","… Harnessing the powerful capabilities of GooglePaLM2 and LangChain … is LangChain, designed to accelerate the development of custom AI applications leveraging LLMs. LangChain’s …",,"{'related_articles_link': 'https://scholar.google.com/scholar?q=related:9EiPSvlGdAEJ:scholar.google.com/&scioq=Langchain&hl=en&num=20&as_sdt=0,50'}",,
25,6,Poisoned langchain: Jailbreak llms by langchain,Xbccv9FIV_kJ,https://arxiv.org/abs/2406.18122,"Z Wang, J Liu, S Zhang, Y Yang - arXiv preprint arXiv:2406.18122, 2024 - arxiv.org",… The experiments show that the PoisonedLangChain (PLC) successfully carried out indirect … We introduce an innovative technique that utilizes Lang Chain for conducting indirect …,,"{'cited_by': {'cites_id': '17966909304109578077', 'total': 8, 'link': 'https://scholar.google.com/scholar?cites=17966909304109578077&as_sdt=5,50&sciodt=0,50&hl=en&num=20'}, 'versions': {'cluster_id': '17966909304109578077', 'total': 2, 'link': 'https://scholar.google.com/scholar?cluster=17966909304109578077&hl=en&num=20&as_sdt=0,50'}, 'related_articles_link': 'https://scholar.google.com/scholar?q=related:Xbccv9FIV_kJ:scholar.google.com/&scioq=Langchain&hl=en&num=20&as_sdt=0,50', 'cached_page_link': 'https://scholar.googleusercontent.com/scholar?q=cache:Xbccv9FIV_kJ:scholar.google.com/+Langchain&hl=en&num=20&as_sdt=0,50'}","{'name': 'arxiv.org', 'format': 'PDF', 'link': 'https://arxiv.org/pdf/2406.18122'}","[{'name': 'S Zhang', 'id': 'uPBWj1gAAAAJ', 'link': 'https://scholar.google.com/citations?user=uPBWj1gAAAAJ&hl=en&num=20&oi=sra'}]"
26,7,Introduction to LangChain and LLMs,PsLrv-PhVp4J,https://link.springer.com/chapter/10.1007/979-8-8688-0882-1_1,"R Jay - Generative AI Apps with LangChain and Python: A …, 2024 - Springer","… LangChain refreshingly easy to use. It is that ease of coding that got me hooked onto LangChain. I … By the end of this chapter, I am confident you will master the essentials of LangChain …",,"{'related_articles_link': 'https://scholar.google.com/scholar?q=related:PsLrv-PhVp4J:scholar.google.com/&scioq=Langchain&hl=en&num=20&as_sdt=0,50'}",,
27,8,A family of natural language interfaces for databases based on chatgpt and langchain,gWbMQDmP-7AJ,https://www-di.inf.puc-rio.br/~casanova/Publications/Papers/2023-Papers/2023-ER.pdf,"E Nascimento, G García, W Victorio… - 42nd International …, 2023 - www-di.inf.puc-rio.br",This poster paper proposes a family of Natural Language (NL) interfaces for databases (NLIDBs) that use ChatGPT and LangChain features to compile NL sentences expressing …,PDF,"{'cited_by': {'cites_id': '12752944245892736641', 'total': 4, 'link': 'https://scholar.google.com/scholar?cites=12752944245892736641&as_sdt=5,50&sciodt=0,50&hl=en&num=20'}, 'versions': {'cluster_id': '12752944245892736641', 'total': 2, 'link': 'https://scholar.google.com/scholar?cluster=12752944245892736641&hl=en&num=20&as_sdt=0,50'}, 'related_articles_link': 'https://scholar.google.com/scholar?q=related:gWbMQDmP-7AJ:scholar.google.com/&scioq=Langchain&hl=en&num=20&as_sdt=0,50', 'cached_page_link': 'https://scholar.googleusercontent.com/scholar?q=cache:gWbMQDmP-7AJ:scholar.google.com/+Langchain&hl=en&num=20&as_sdt=0,50'}","{'name': 'puc-rio.br', 'format': 'PDF', 'link': 'https://www-di.inf.puc-rio.br/~casanova/Publications/Papers/2023-Papers/2023-ER.pdf'}","[{'name': 'E Nascimento', 'id': 'Geesi1gAAAAJ', 'link': 'https://scholar.google.com/citations?user=Geesi1gAAAAJ&hl=en&num=20&oi=sra'}, {'name': 'G García', 'id': 'oWJy24IAAAAJ', 'link': 'https://scholar.google.com/citations?user=oWJy24IAAAAJ&hl=en&num=20&oi=sra'}]"
28,9,An analysis of large language models and langchain in mathematics education,cNSUgcA-E6UJ,https://dl.acm.org/doi/abs/10.1145/3633598.3633614,"F Soygazi, D Oguz - Proceedings of the 2023 7th International …, 2023 - dl.acm.org","… Since the context is mathematics in this study, we present a prompt analysis of ChatGPT and LangChain by using different mathematical questions. In this section, we begin by …",,"{'cited_by': {'cites_id': '11894920037344269424', 'total': 14, 'link': 'https://scholar.google.com/scholar?cites=11894920037344269424&as_sdt=5,50&sciodt=0,50&hl=en&num=20'}, 'versions': {'cluster_id': '11894920037344269424', 'total': 3, 'link': 'https://scholar.google.com/scholar?cluster=11894920037344269424&hl=en&num=20&as_sdt=0,50'}, 'related_articles_link': 'https://scholar.google.com/scholar?q=related:cNSUgcA-E6UJ:scholar.google.com/&scioq=Langchain&hl=en&num=20&as_sdt=0,50'}","{'name': 'researchgate.net', 'format': 'PDF', 'link': 'https://www.researchgate.net/profile/Fatih-Soygazi/publication/374590545_An_Analysis_of_Large_Language_Models_and_LangChain_in_Mathematics_Education/links/6526892f82fd2a6bab854e60/An-Analysis-of-Large-Language-Models-and-LangChain-in-Mathematics-Education.pdf'}","[{'name': 'F Soygazi', 'id': 'K0vmPWAAAAAJ', 'link': 'https://scholar.google.com/citations?user=K0vmPWAAAAAJ&hl=en&num=20&oi=sra'}, {'name': 'D Oguz', 'id': '8byEfBEAAAAJ', 'link': 'https://scholar.google.com/citations?user=8byEfBEAAAAJ&hl=en&num=20&oi=sra'}]"
29,10,Chat With PDF Using LangChain Model,R0F1SatPvxsJ,https://ieeexplore.ieee.org/abstract/document/10690817/,"A Kotiyal, P Gujjar, G Prasad… - … on Advances in …, 2024 - ieeexplore.ieee.org","… Through a comprehensive examination of LangChain's … Furthermore, this paper assesses LangChain's impact on … , and future prospects of LangChain, this review contributes to …",,"{'related_articles_link': 'https://scholar.google.com/scholar?q=related:R0F1SatPvxsJ:scholar.google.com/&scioq=Langchain&hl=en&num=20&as_sdt=0,50'}",,"[{'name': 'A Kotiyal', 'id': 'sDI-IGkAAAAJ', 'link': 'https://scholar.google.com/citations?user=sDI-IGkAAAAJ&hl=en&num=20&oi=sra'}, {'name': 'P Gujjar', 'id': 'FE__WJwAAAAJ', 'link': 'https://scholar.google.com/citations?user=FE__WJwAAAAJ&hl=en&num=20&oi=sra'}, {'name': 'G Prasad', 'id': 'P0z8HtQAAAAJ', 'link': 'https://scholar.google.com/citations?user=P0z8HtQAAAAJ&hl=en&num=20&oi=sra'}]"
30,11,Building an Intelligent QA/Chatbot with LangChain and Open Source LLMs,H_1wmaaVn84J,https://vtechworks.lib.vt.edu/items/976c5deb-cae3-4654-a86f-2fd6a668990e,"W Bogusz, C Mohbat, J Liu, A Neeser, A Sigua - 2024 - vtechworks.lib.vt.edu","We have created a web application enabling access to Intelligent Q/A chatbots, where the end user has access to query language learning models to retrieve context specific information…",,"{'versions': {'cluster_id': '14888783435881577759', 'total': 2, 'link': 'https://scholar.google.com/scholar?cluster=14888783435881577759&hl=en&num=20&as_sdt=0,50'}, 'related_articles_link': 'https://scholar.google.com/scholar?q=related:H_1wmaaVn84J:scholar.google.com/&scioq=Langchain&hl=en&num=20&as_sdt=0,50', 'cached_page_link': 'https://scholar.googleusercontent.com/scholar?q=cache:H_1wmaaVn84J:scholar.google.com/+Langchain&hl=en&num=20&as_sdt=0,50'}","{'name': 'vt.edu', 'format': 'PDF', 'link': 'https://vtechworks.lib.vt.edu/bitstreams/a012dc64-c53a-4c8e-a3e5-08ec28ee2002/download'}",
31,12,Generative AI Apps with LangChain and Python,3CCYDMJIAZgJ,https://link.springer.com/content/pdf/10.1007/979-8-8688-0882-1.pdf,R Jay - 2024 - Springer,"In this chapter, we will explore intelligent autonomous agents and learn how to create them using the LangChain framework. We will start by understanding the fundamental concepts of …",BOOK,"{'versions': {'cluster_id': '10953115767013908700', 'total': 2, 'link': 'https://scholar.google.com/scholar?cluster=10953115767013908700&hl=en&num=20&as_sdt=0,50'}, 'related_articles_link': 'https://scholar.google.com/scholar?q=related:3CCYDMJIAZgJ:scholar.google.com/&scioq=Langchain&hl=en&num=20&as_sdt=0,50'}",,
32,13,The Enhancement Effect of LangChain on Long Text Summarization,cyPGOwNFMHAJ,https://www.diva-portal.org/smash/record.jsf?pid=diva2:1905709,L Svensgård - 2024 - diva-portal.org,"… This study explores the enhancement effects of LangChain on the performance of the GPT… with LangChain (referred to as the ""enhanced model""). By using LangChain's context …",,"{'related_articles_link': 'https://scholar.google.com/scholar?q=related:cyPGOwNFMHAJ:scholar.google.com/&scioq=Langchain&hl=en&num=20&as_sdt=0,50', 'cached_page_link': 'https://scholar.googleusercontent.com/scholar?q=cache:cyPGOwNFMHAJ:scholar.google.com/+Langchain&hl=en&num=20&as_sdt=0,50'}","{'name': 'diva-portal.org', 'format': 'PDF', 'link': 'https://www.diva-portal.org/smash/get/diva2:1905709/FULLTEXT01.pdf'}",
33,14,Developing a Website to Analyze and Validate Projects Using LangChain and Streamlit,O_yiUwcJ4GgJ,https://ieeexplore.ieee.org/abstract/document/10467765/,"M Pillai, P Thakur - … Technologies and Internet of Things (IDCIoT …, 2024 - ieeexplore.ieee.org","… the creation of a website using LangChain, a framework for building … obstacle by utilizing LangChain's natural language processing … The features of LangChain allow for the extraction of …",,"{'cited_by': {'cites_id': '7557050101800303675', 'total': 3, 'link': 'https://scholar.google.com/scholar?cites=7557050101800303675&as_sdt=5,50&sciodt=0,50&hl=en&num=20'}, 'related_articles_link': 'https://scholar.google.com/scholar?q=related:O_yiUwcJ4GgJ:scholar.google.com/&scioq=Langchain&hl=en&num=20&as_sdt=0,50'}",,"[{'name': 'P Thakur', 'id': 'HIjPgboAAAAJ', 'link': 'https://scholar.google.com/citations?user=HIjPgboAAAAJ&hl=en&num=20&oi=sra'}]"
34,15,INTELLIGENT EDUCATIONAL AGENT FOR EDUCATION SUPPORT USING LONG LANGUAGE MODELS THROUGH LANGCHAIN.,4MRcpFFYFkcJ,https://www.researchgate.net/profile/Juan-Salgado-Guerrero/publication/378512861_Intelligent_Educational_Agent_for_Education_Support_Using_Long_Language_Models_Through_Langchain/links/65ef60019ab2af0ef8b06937/Intelligent-Educational-Agent-for-Education-Support-Using-Long-Language-Models-Through-Langchain.pdf,"D Quisi-Peralta, J Salgado-Guerrero… - researchgate.net",This paper explores the development of an Intelligent Educational Agent (IEA) with a focus on enhancing the learning experience for university students. In an era where online …,PDF,"{'related_articles_link': 'https://scholar.google.com/scholar?q=related:4MRcpFFYFkcJ:scholar.google.com/&scioq=Langchain&hl=en&num=20&as_sdt=0,50', 'cached_page_link': 'https://scholar.googleusercontent.com/scholar?q=cache:4MRcpFFYFkcJ:scholar.google.com/+Langchain&hl=en&num=20&as_sdt=0,50'}","{'name': 'researchgate.net', 'format': 'PDF', 'link': 'https://www.researchgate.net/profile/Juan-Salgado-Guerrero/publication/378512861_Intelligent_Educational_Agent_for_Education_Support_Using_Long_Language_Models_Through_Langchain/links/65ef60019ab2af0ef8b06937/Intelligent-Educational-Agent-for-Education-Support-Using-Long-Language-Models-Through-Langchain.pdf'}","[{'name': 'D Quisi-Peralta', 'id': 'x9CpPoMAAAAJ', 'link': 'https://scholar.google.com/citations?user=x9CpPoMAAAAJ&hl=en&num=20&oi=sra'}]"
35,16,A Study on the Development of a Privacy Policy Analysis Assistant Based on LangChain Framework and RAG,WoCcgRaO4TAJ,https://koreascience.kr/article/CFKO202433162513837.page,"DB Kang, MJ Kang, HN Kim, HW Kim… - Annual Conference of …, 2024 - koreascience.kr",개인정보 보호의 중요성이 증가함에 따라 기업의 개인정보 처리방침을 효과적으로 분석하고 개선하기 위한 방법을 제시하고자 한다. 개인정보 처리방침 평가 관련 데이터를 기반으로 RAG (…,,"{'related_articles_link': 'https://scholar.google.com/scholar?q=related:WoCcgRaO4TAJ:scholar.google.com/&scioq=Langchain&hl=en&num=20&as_sdt=0,50', 'cached_page_link': 'https://scholar.googleusercontent.com/scholar?q=cache:WoCcgRaO4TAJ:scholar.google.com/+Langchain&hl=en&num=20&as_sdt=0,50'}","{'name': 'koreascience.kr', 'format': 'PDF', 'link': 'https://koreascience.kr/article/CFKO202433162513837.pdf'}",
36,17,Chatbot Development Using LangChain: A Case Study to Foster Critical Thinking and Creativity,G9DpIanB4bMJ,https://dl.acm.org/doi/abs/10.1145/3649217.3653557,"L Farinetti, L Canale - Proceedings of the 2024 on Innovation and …, 2024 - dl.acm.org",Critical thinking and creativity are fundamental skills for engineers and computer scientists. The emergence of Large Language Models (LLMs) able to create chatbots that use natural …,,"{'cited_by': {'cites_id': '12961854134711603227', 'total': 3, 'link': 'https://scholar.google.com/scholar?cites=12961854134711603227&as_sdt=5,50&sciodt=0,50&hl=en&num=20'}, 'versions': {'cluster_id': '12961854134711603227', 'total': 2, 'link': 'https://scholar.google.com/scholar?cluster=12961854134711603227&hl=en&num=20&as_sdt=0,50'}, 'related_articles_link': 'https://scholar.google.com/scholar?q=related:G9DpIanB4bMJ:scholar.google.com/&scioq=Langchain&hl=en&num=20&as_sdt=0,50'}","{'name': 'acm.org', 'format': 'PDF', 'link': 'https://dl.acm.org/doi/pdf/10.1145/3649217.3653557'}","[{'name': 'L Canale', 'id': 'hsgYvg0AAAAJ', 'link': 'https://scholar.google.com/citations?user=hsgYvg0AAAAJ&hl=en&num=20&oi=sra'}]"
37,18,Personalized Feedback in Massive Open Online Courses: Harnessing the Power of LangChain and OpenAI API,cB7UZwMG1ScJ,https://www.mdpi.com/2079-9292/13/10/1960,"M Morales-Chan, HR Amado-Salvatierra, JA Medina… - Electronics, 2024 - mdpi.com","… By integrating the unique capabilities of the LangChain … The data-aware functionality of LangChain is particularly … Furthermore, the agentic nature of LangChain revolutionized our …",,"{'cited_by': {'cites_id': '2870206949215182448', 'total': 5, 'link': 'https://scholar.google.com/scholar?cites=2870206949215182448&as_sdt=5,50&sciodt=0,50&hl=en&num=20'}, 'versions': {'cluster_id': '2870206949215182448', 'total': 4, 'link': 'https://scholar.google.com/scholar?cluster=2870206949215182448&hl=en&num=20&as_sdt=0,50'}, 'related_articles_link': 'https://scholar.google.com/scholar?q=related:cB7UZwMG1ScJ:scholar.google.com/&scioq=Langchain&hl=en&num=20&as_sdt=0,50', 'cached_page_link': 'https://scholar.googleusercontent.com/scholar?q=cache:cB7UZwMG1ScJ:scholar.google.com/+Langchain&hl=en&num=20&as_sdt=0,50'}","{'name': 'mdpi.com', 'format': 'PDF', 'link': 'https://www.mdpi.com/2079-9292/13/10/1960/pdf'}","[{'name': 'M Morales-Chan', 'id': 'JxCHBggAAAAJ', 'link': 'https://scholar.google.com/citations?user=JxCHBggAAAAJ&hl=en&num=20&oi=sra'}, {'name': 'HR Amado-Salvatierra', 'id': 'TlMoNRcAAAAJ', 'link': 'https://scholar.google.com/citations?user=TlMoNRcAAAAJ&hl=en&num=20&oi=sra'}, {'name': 'JA Medina', 'id': 'ToIf0JYAAAAJ', 'link': 'https://scholar.google.com/citations?user=ToIf0JYAAAAJ&hl=en&num=20&oi=sra'}]"
38,19,ElderQA-GPT: A Large Language Model for Online Q&A on Geriatric Diseases Based on BGE Semantic Vector Knowledge Base and LangChain Architecture,mj3GcTJ_mxIJ,https://dl.acm.org/doi/abs/10.1145/3706890.3706892,"Y Duan, S Lin, X Liu, Z Huang, H Su, Y Bai - Proceedings of the 2024 5th …, 2024 - dl.acm.org","… the model’s architecture, LangChain[14] enhances the contextual … knowledge base and the LangChain architecture, this paper … At the same time, ElderQA-GPT, based on the LangChain …",,"{'related_articles_link': 'https://scholar.google.com/scholar?q=related:mj3GcTJ_mxIJ:scholar.google.com/&scioq=Langchain&hl=en&num=20&as_sdt=0,50'}",,"[{'name': 'Z Huang', 'id': 'Y5PbPtYAAAAJ', 'link': 'https://scholar.google.com/citations?user=Y5PbPtYAAAAJ&hl=en&num=20&oi=sra'}]"
39,20,Empowering Healthcare through LangChain: A New Era of Possibilities,6riNTTbaS3EJ,https://insights2techinfo.com/wp-content/uploads/2023/12/langchain-with-dsim-format_revised-new.pdf,"V Vajrobol, N Aggarwal, A Pundir, S Singh, GJ Saxena - insights2techinfo.com","… This research aims to find out how LangChain's potent capabilities empower the medical … that LangChain brings to the medical industry. By utilizing its potential, LangChain has the …",PDF,"{'related_articles_link': 'https://scholar.google.com/scholar?q=related:6riNTTbaS3EJ:scholar.google.com/&scioq=Langchain&hl=en&num=20&as_sdt=0,50', 'cached_page_link': 'https://scholar.googleusercontent.com/scholar?q=cache:6riNTTbaS3EJ:scholar.google.com/+Langchain&hl=en&num=20&as_sdt=0,50'}","{'name': 'insights2techinfo.com', 'format': 'PDF', 'link': 'https://insights2techinfo.com/wp-content/uploads/2023/12/langchain-with-dsim-format_revised-new.pdf'}","[{'name': 'V Vajrobol', 'id': 'PdEehxcAAAAJ', 'link': 'https://scholar.google.com/citations?user=PdEehxcAAAAJ&hl=en&num=20&oi=sra'}, {'name': 'N Aggarwal', 'id': '_1hnIhMAAAAJ', 'link': 'https://scholar.google.com/citations?user=_1hnIhMAAAAJ&hl=en&num=20&oi=sra'}, {'name': 'A Pundir', 'id': 'Ow7O0L0AAAAJ', 'link': 'https://scholar.google.com/citations?user=Ow7O0L0AAAAJ&hl=en&num=20&oi=sra'}, {'name': 'S Singh', 'id': '2jUmcJ8AAAAJ', 'link': 'https://scholar.google.com/citations?user=2jUmcJ8AAAAJ&hl=en&num=20&oi=sra'}, {'name': 'GJ Saxena', 'id': 'LOmXPSgAAAAJ', 'link': 'https://scholar.google.com/citations?user=LOmXPSgAAAAJ&hl=en&num=20&oi=sra'}]"
40,1,LangchainIQ: Intelligent Content and Query Processing,qfIQ2tqUTJ0J,https://www.academia.edu/download/120108564/3._LangchainIQ_Intelligent_Content.pdf,"S Ghane, R Sawant, G Supe, C Pichad - academia.edu","… and evaluate a comprehensive framework called langchain(component of Large Language Model), … Originality/Value: Introducing langchain as a versatile framework that addresses the …",PDF,"{'cited_by': {'cites_id': '11334598029867020969', 'total': 1, 'link': 'https://scholar.google.com/scholar?cites=11334598029867020969&as_sdt=5,41&sciodt=0,41&hl=en&num=20'}, 'related_articles_link': 'https://scholar.google.com/scholar?q=related:qfIQ2tqUTJ0J:scholar.google.com/&scioq=Langchain&hl=en&num=20&as_sdt=0,41', 'cached_page_link': 'https://scholar.googleusercontent.com/scholar?q=cache:qfIQ2tqUTJ0J:scholar.google.com/+Langchain&hl=en&num=20&as_sdt=0,41'}","{'name': 'academia.edu', 'format': 'PDF', 'link': 'https://www.academia.edu/download/120108564/3._LangchainIQ_Intelligent_Content.pdf'}","[{'name': 'S Ghane', 'id': 'aR0AWVIAAAAJ', 'link': 'https://scholar.google.com/citations?user=aR0AWVIAAAAJ&hl=en&num=20&oi=sra'}]"
