"Espacenet";"";"";"";"";"";"";"";"";
"Recherche de brevets";"";"";"";"";"";"";"";"";
"1 résultat trouvé pour ctxt all ""hydrogen"" AND ctxt all ""battery"" AND ctxt all ""electric vehicle"" AND ctxt all ""charging""";"";"";"";"";"";"";"";"";
"Résultats affichés : 1 à 500";"";"";"";"";"";"";"";"";
"Langue de la requête: en / de / fr";"";"";"";"";"";"";"";"";
"Trier par: Pertinence";"";"";"";"";"";"";"";"";
"";"";"";"";"";"";"";"";"";
"No";"Titre";"Inventeurs";"Demandeurs";"Numéro de publication";"Priorité la plus ancienne";"CIB";"CPC";"Date de publication";"Publication la plus ancienne";"Numéro de famille";
"44";"BATTERY CONTROL DEVICE FOR ELECTRIC VEHICLE";"ARAI YOICHI 
SHIMOYAMA KENICHI 
MAEMOTO TOSHIFUMI";"YAZAKI CORP 
MAZDA MOTOR";"JPH11164401A";"1997-11-28";"B60L11/18 
B60L3/00 
H01M10/42 
H02J7/00 
B60L50/64 
H01M10/42 
H01M10/48 
H02J7/00 
H01M10/52 
H01M2/10 
H01M2/12";"B60L3/0046 (EP,US) 
B60L50/64 (EP,US) 
B60L53/14 (EP,US) 
B60L58/10 (EP,US) 
B60L58/15 (EP,US) 
B60L58/26 (EP) 
H01M10/48 (EP,US) 
H01M50/249 (EP,US) 
H01M10/52 (EP,US) 
H01M10/613 (EP,US) 
H01M10/625 (EP,US) 
H01M10/63 (EP,US) 
H01M10/6563 (EP,US) 
H01M50/30 (EP,US) 
Y02E60/10 (EP) 
Y02T10/70 (EP,US) 
Y02T10/7072 (EP,US) 
Y02T90/14 (EP,US) 
Y02T90/16 (EP,US)";"1999-06-18";"1999-06-18";"018212376";
"45";"Charging and water replenishing station for electric vehicle";"SUN YIFEI 
CAI JIABIN";"XIAMEN GULUOPU TECH CO LTD";"CN115092000A";"2022-07-25";"B60L53/31 
B60L53/53 
B60L53/54 
H02J7/00";"B60L53/31 (CN) 
B60L53/53 (CN) 
B60L53/54 (CN) 
H02J7/00 (CN) 
Y02T90/14 (EP)";"2022-09-23";"2022-09-23";"083297827";
"46";"COMBINED HYDROGEN FUEL CELL FOR VEHICLE FUELING, ELECTRIC VEHICLE FAST CHARGING AND FUEL CELL BACK-UP POWER FORECOURT";"VOLK JAMES JOSEPH [US] 
WENCK JAMES M [US] 
TAYLOR FRED [CA]";"GHD INC [US]";"US2022227247A1";"2021-01-21";"B60L50/70 
B60L53/10 
B60L53/54 
H01M8/04082";"B60L50/70 (US) 
B60L53/11 (EP) 
B60L53/51 (EP) 
B60L53/52 (EP) 
B60L53/54 (EP,US) 
H01M8/04201 (EP,US) 
H01M8/0656 (EP) 
C25B1/04 (EP,US) 
C25B15/00 (EP) 
H01M2250/20 (EP,US) 
H01M2250/402 (EP,US) 
Y02E60/36 (EP) 
Y02E60/50 (EP) 
Y02T10/70 (EP) 
Y02T10/7072 (EP) 
Y02T90/12 (EP) 
Y02T90/40 (EP)";"2022-07-21";"2022-07-21";"082406830";
"47";"Water-hydrogen plug-in hybrid electric vehicle";"XIANG HUA 
LI WENXIA";"GUANGDONG HYDROGEN ENERGY SCIENCE & TECH CO LTD";"CN108258270A";"2016-12-28";"B60K6/32 
H01M8/0612";"B60K6/32 (CN) 
H01M8/0618 (CN) 
H01M2250/20 (CN) 
Y02E60/50 (EP) 
Y02T90/40 (EP)";"2018-07-06";"2018-07-06";"062719797";
"48";"Hydrogen fuel cell integrated fast electric vehicle charger";"HA JAE CHUNG [KR]";"HA JAE CHUNG [KR]";"KR102352048B1 
KR20210148470A";"2020-05-28";"B60L53/10 
B60L53/24 
B60L53/66 
H02H5/04 
H02H7/18 
H02M3/00 
H02M7/44";"B60L53/11 (KR) 
B60L53/24 (KR) 
B60L53/665 (KR) 
H01M8/0494 (KR) 
H01M8/04947 (KR) 
H02H5/041 (KR) 
H02H7/18 (KR) 
H02M3/00 (KR) 
H02M7/44 (KR) 
B60L2210/10 (KR) 
B60L2210/40 (KR) 
B60L2250/16 (KR) 
B60Y2200/91 (KR) 
H01M2250/20 (KR) 
Y02E60/50 (EP,KR) 
Y02T10/70 (EP,KR) 
Y02T10/7072 (EP,KR) 
Y02T10/72 (KR) 
Y02T90/12 (EP) 
Y02T90/14 (EP) 
Y02T90/16 (EP) 
Y02T90/167 (KR)";"2021-12-08 
2022-01-17";"2021-12-08";"078867662";
"49";"Pure electric vehicle powered by hydrogen energy";"LIANG XINYAN";"CHERY AUTOMOBILE CO LTD";"CN103350650A";"2013-06-25";"B60K1/00 
B60L11/18 
B60L15/00";"Y02T10/70 (EP) 
Y02T10/72 (EP)";"2013-10-16";"2013-10-16";"049307103";
"50";"BATTERY CHARGING DEVICE IN ELECTRIC VEHICLE";"KIYOMIYA SHIGERU";"KOMATSU FORKLIFT";"JP2005100746A";"2003-09-24";"B60L11/18 
B60L3/00 
H01M10/44 
B60L11/18 
B60L3/00 
H01M10/44";"Y02E60/10 (EP) 
Y02T10/70 (EP)";"2005-04-14";"2005-04-14";"034460162";
"51";"Automatic charging device for electric vehicle battery module";"CHEN WENLE";"CHEN WENLE";"CN103001264A";"2011-09-08";"B60L11/18 
H02J7/00";"Y02T10/70 (EP)";"2013-03-27";"2013-03-27";"047929532";
"52";"Scheduling method and system for electricity-hydrogen integrated charging station of new energy automobile";"YANG JIE 
YUE ZHIYUAN 
MA KAI 
LIU WEI 
GUO SHILIANG 
YUAN YAZHOU";"UNIV YANSHAN";"CN114784832A";"2022-04-25";"H02J15/00 
H02J3/00 
H02J3/06 
H02J3/32 
H02J3/38";"H02J15/008 (CN) 
H02J3/008 (CN) 
H02J3/06 (CN) 
H02J3/322 (CN) 
H02J3/38 (CN) 
H02J2300/30 (CN)";"2022-07-22";"2022-07-22";"082433419";
"53";"Charging system capable of preventing electric vehicle from moving during charging";"LU SHIMIN 
DOU WANKUN 
XU WENQING 
ZHU HONGJUN";"JIANGSU KINGBON VEHICLE CO LTD";"CN108621843A";"2018-05-10";"B60L3/00";"B60L3/00 (CN) 
B60L53/00 (CN) 
B60L53/60 (CN) 
B60L2200/12 (CN) 
Y02T10/70 (EP) 
Y02T10/7072 (EP) 
Y02T10/72 (EP) 
Y02T90/12 (EP) 
Y02T90/14 (EP)";"2018-10-09";"2018-10-09";"063692409";
"54";"Hydrogen-electricity hybrid power system and vehicle";"YANG HUAPING 
ZHAI GUANGYONG 
ZHANG ZHENXING";"GEELY HOLDING GROUP CO LTD 
ZHEJIANG YIZHEN AUTOMOBILE RES DEVELOPMENT CO LTD";"CN221272581U";"2023-12-14";"B60L50/75";"";"2024-07-05";"2024-07-05";"091691209";
"55";"Charging temperature control device of vehicle battery pack, battery management system and electric vehicle";"XIU SHUDONG 
YANG ZHENYU 
LI SHUYE";"SVOLT ENERGY TECH COMPANY LTD";"CN208986134U";"2018-12-14";"H01M10/44 
H01M10/615 
H01M10/625 
H01M10/633 
H01M10/637";"Y02E60/10 (EP)";"2019-06-14";"2019-06-14";"066792249";
"56";"Mobile charging system for electric vehicle";"XIANG HUA";"SHANGHAI HYDROGEN MOBILE REFORMER INSTR CO LTD";"CN106026340A";"2016-06-17";"H02J7/00 
H02J7/35 
H02S10/10 
H02S10/12";"H02J7/0063 (CN) 
H02J7/35 (CN) 
H02S10/10 (CN) 
H02S10/12 (CN) 
H02J2207/40 (CN) 
Y02E10/50 (EP)";"2016-10-12";"2016-10-12";"057088718";
"57";"Hydrogen-electricity hybrid power system and vehicle";"YANG HUAPING 
ZHAI GUANGYONG 
ZHANG ZHENXING";"GEELY HOLDING GROUP CO LTD 
ZHEJIANG YIZHEN AUTOMOBILE RES DEVELOPMENT CO LTD";"CN221272582U";"2023-12-14";"B60L50/40 
B60L50/75";"";"2024-07-05";"2024-07-05";"091703714";
"58";"Energy independent type hydrogen energy power generation system for supplying power to electric vehicle charging pile";"KWON SOON-PYO 
KIM JONG-HWA";"KWATERCRAFT CO LTD";"CN115706254A";"2021-08-04";"B60L53/31 
B60L53/51 
B60L53/54 
C02F1/461 
C02F9/00 
C25B1/04 
H01M8/22 
C02F103/08";"";"2023-02-17";"2023-02-17";"085178622";
"59";"INTEGRATED SOLAR-POWERED HIGH-PRESSURE HYDROGEN PRODUCTION AND BATTERY CHARGING SYSTEM";"KELLY NELSON A [US] 
GIBSON THOMAS L [US] 
CAI MEI [US]";"GM GLOBAL TECH OPERATIONS INC [US] 
KELLY NELSON A [US] 
GIBSON THOMAS L [US] 
CAI MEI [US]";"US2010230292A1 
US8721868B2";"2009-03-16";"C25B1/02 
C01B3/04 
C25B1/04";"H01M8/04208 (EP,CN,US) 
H01M8/0656 (EP,CN,US) 
H02J7/35 (EP,CN,US) 
H02S40/00 (CN) 
H02S40/38 (EP,US) 
H02S40/44 (EP,US) 
H01M2250/20 (EP,CN,US) 
H01M8/04216 (EP,CN,US) 
Y02E10/56 (EP,US) 
Y02E10/60 (EP,US) 
Y02E60/36 (EP,US) 
Y02E60/50 (EP) 
Y02E70/30 (EP) 
Y02P20/133 (EP,US) 
Y02T90/40 (EP,US)";"2010-09-16 
2014-05-13";"2010-09-16";"042729813";
"60";"Mobile charging vehicle";"ZHANG WEI";"SHENZHEN GUOQI AOYUAN TECH CO LTD";"CN209290251U";"2018-10-15";"B60L53/50 
B60L53/51 
B60L53/52 
B60P3/00 
H02J7/14 
H02J7/35";"Y02T10/70 (EP) 
Y02T10/7072 (EP) 
Y02T90/12 (EP)";"2019-08-23";"2019-08-23";"067654056";
"61";"Charging system for electric automobile";"XIANG HUA";"SHANGHAI HYDROGEN MOBILE REFORMER INSTR CO LTD";"CN106025300A";"2016-06-17";"B60L11/18 
H01M4/90 
H01M8/0612 
H02J7/00";"B60L53/30 (CN) 
B60L53/51 (CN) 
B60L53/52 (CN) 
B60L53/54 (CN) 
H01M4/9016 (CN) 
H01M8/0618 (CN) 
H02J7/0027 (CN) 
H01M2250/20 (CN) 
Y02E60/50 (EP) 
Y02T10/70 (EP) 
Y02T10/7072 (EP) 
Y02T90/12 (EP)";"2016-10-12";"2016-10-12";"057088883";
"62";"FUEL CELL SYSTEM FOR CHARGING ELECTRIC VEHICLE BATTERIES";"LEE WOONG MOO [KR]";"PAHPS [KR]";"KR20160042488A";"2014-10-10";"B60K1/04 
B60L11/18 
H01M8/04 
H01M8/06";"B60L50/50 (KR) 
B60L58/30 (KR) 
H01M8/04089 (KR) 
H01M8/04201 (KR) 
H01M8/04947 (KR) 
H01M8/0618 (KR) 
H01M8/0662 (KR) 
H01M8/0687 (KR) 
H01M2250/20 (KR) 
Y02E60/50 (EP) 
Y02T10/70 (EP) 
Y02T90/40 (EP)";"2016-04-20";"2016-04-20";"055917282";
"63";"Self-Charging Battery System for Electric Vehicles";"WERTZ BRUCE DOUGLAS [US] 
TRIMBLE MONTY CHARLES [US]";"SELF CHARGE EV SYSTEMS LLC [US]";"US2024351453A1";"2023-04-19";"B60K15/03 
B60K6/26 
B60K6/28 
B60K6/46 
B60L50/62 
B60L53/51";"B60K15/03 (EP,US) 
B60K6/26 (US) 
B60K6/28 (US) 
B60K6/46 (US) 
B60L50/62 (EP,US) 
B60L53/51 (EP,US) 
B60L8/003 (EP) 
B60K2015/03315 (EP,US) 
B60Y2200/92 (EP,US) 
B60Y2300/91 (EP,US) 
B60Y2400/102 (EP,US) 
B60Y2400/106 (EP,US) 
B60Y2400/112 (EP,US) 
B60Y2400/216 (EP,US)";"2024-10-24";"2024-10-24";"093122706";
"64";"Methanol-water hybrid electric vehicle";"GAO JIMING 
YANG YANZHANG";"GUANGDONG CREATE TECH CO LTD";"CN111301185A";"2020-03-26";"B60L50/75 
B60L58/33 
B60L58/40 
H01M8/0612";"B60L50/75 (CN) 
B60L58/33 (CN) 
B60L58/40 (CN) 
H01M8/0618 (CN) 
Y02E60/50 (EP) 
Y02T10/70 (EP) 
Y02T90/40 (EP)";"2020-06-19";"2020-06-19";"071155505";
"65";"Mobile electric vehicle charging system";"ZHANG RUIFENG 
WANG HAIFAN 
WU JIN 
ZHANG RUIJIE";"DONGGUAN QINGXIN NEW ENERGY CO LTD";"CN106696746A";"2017-01-19";"B60L11/18 
H02J7/00";"B60L53/00 (CN) 
B60L53/51 (CN) 
B60L53/53 (CN) 
B60L53/54 (CN) 
H02J7/0027 (CN) 
H02J7/0068 (CN) 
Y02T10/70 (EP) 
Y02T10/7072 (EP) 
Y02T10/72 (EP) 
Y02T90/12 (EP) 
Y02T90/14 (EP)";"2017-05-24";"2017-05-24";"058909017";
"66";"Electric automobile water hydrogen charging device";"XIANG HUA";"SHANGHAI HYDROGEN MOBILE REFORMER INSTR CO LTD";"CN205429080U";"2015-11-03";"C01B3/32 
H01M8/0612 
H01M8/22 
H02J7/00";"Y02E60/50 (EP)";"2016-08-03";"2016-08-03";"056518599";
"67";"Hydrogen-electric hybrid vehicle cluster flexibility potential assessment method considering energy charging intention";"WANG QIUJIE 
LIU GUANHUI 
HE CHENGZE 
ZHANG JIAHAO 
LU XUENING";"UNIV CHINA THREE GORGES CTGU";"CN118246944A";"2024-02-27";"G06Q10/04 
G06Q10/063 
G06Q10/0639 
G06Q30/0201 
G06Q50/06 
G06Q50/26 
G06Q50/40 
H02J3/00";"G06Q10/04 (CN) 
G06Q10/063 (CN) 
G06Q10/0639 (CN) 
G06Q30/0201 (CN) 
G06Q50/06 (CN) 
G06Q50/26 (CN) 
H02J3/003 (CN)";"2024-06-25";"2024-06-25";"091551957";
"68";"Hydrogen fuel cell journey-increasing electric vehicle and display device thereof";"CHENG YAN";"BEIQI FOTON MOTOR CO LTD";"CN104842791A 
CN104842791B";"2014-11-24";"B60K35/00";"";"2015-08-19 
2017-11-03";"2015-08-19";"053842919";
"69";"Remove storage battery car based on hydrogen cell group charges";"SHA DEFU";"CHEJIXIU AUTOMOBILE TECH CO LTD";"CN206678868U";"2017-04-28";"B60L11/18 
B60P3/00 
B60P3/14 
H02J7/00";"Y02T10/70 (EP) 
Y02T90/16 (EP)";"2017-11-28";"2017-11-28";"060406856";
"70";"Automatic charging device of motor battery module";"WENLE CHEN";"WENLE CHEN";"CN202261108U";"2011-09-08";"H02N11/00";"";"2012-05-30";"2012-05-30";"046122289";
"71";"Traction type recreational vehicle power supply equipment of hybrid electric vehicle";"ZHOU HAI";"SANCHUANG LIANMENG CANGZHOU LINGANG TECH CO TLD";"CN112622792A";"2021-01-25";"B60P3/36 
B60R16/033 
H02J7/35";"B60P3/36 (CN) 
B60R16/033 (CN) 
H02J7/35 (CN) 
Y02B10/10 (EP)";"2021-04-09";"2021-04-09";"075295465";
"72";"SYSTÈME DE CHARGE DE VÉHICULE ÉLECTRIQUE COMPORTANT UN CHARGEUR MOBILE UTILISANT UNE PILE À HYDROGÈNE";"YOO JAE SIK [KR] 
CHOI SEONG HOON [KR]";"INFINITE KOREA INC [KR]";"WO2023195813A1";"2022-04-08";"B60L53/16 
B60L53/24 
B60L53/35 
B60L53/54";"B60L53/16 (EP,KR) 
B60L53/24 (EP,KR) 
B60L53/35 (EP,KR) 
B60L53/54 (EP,KR) 
B60Y2200/91 (KR) 
Y02E60/50 (KR) 
Y02T90/12 (KR) 
Y02T90/14 (KR) 
Y02T90/40 (KR)";"2023-10-12";"2023-10-12";"088243281";
"73";"Control method and device of hydrogen fuel cell and vehicle";"ZHOU JIANBING 
ZHENG KAI 
TANG JUN 
WANG JINYUAN 
BIAN XIAOGUANG 
SHI XIUZHU 
YU JIAHUA 
ZHAO JIANSHENG 
DONG GUOXIONG 
ZHANG WEI";"DONGFENG AUTOMOBILE CO LTD";"CN116533831A";"2023-05-15";"B60L53/00 
B60L58/12 
B60L58/30";"B60L53/00 (CN) 
B60L58/12 (CN) 
B60L58/30 (CN)";"2023-08-04";"2023-08-04";"087455735";
"74";"SUPPLY STATION AND METHOD CAPABLE OF CHARGING ELECTRICITY AND FILLING WITH HYDROGEN GAS SIMULTANEOUSLY OR SEPARATELY";"PICKLES JEFF [US] 
KU ANTHONY [US] 
LI XIANMING JIMMY [US] 
SINGH SURINDER [US] 
ALLEN JEFF [US]";"CHINA ENERGY INVESTMENT CORP LTD [CN] 
NAT INST CLEAN & LOW CARBON ENERGY [CN]";"US2021261010A1";"2018-09-25";"B60L50/75 
B60L53/30 
B60L53/53 
B60L53/54 
F17D1/04 
H02J7/02";"B60L50/75 (US) 
B60L53/30 (EP,US) 
B60L53/53 (EP,US) 
B60L53/54 (EP,US) 
F17D1/04 (CN,US) 
F17D3/01 (CN) 
H02J15/008 (EP) 
H02J7/02 (EP,US) 
F17C2221/012 (EP) 
F17C2223/0123 (EP) 
F17C2223/036 (EP) 
F17C2225/0123 (EP) 
F17C2225/036 (EP) 
F17C2265/04 (EP,US) 
F17C2265/065 (US) 
F17C2270/0139 (EP,US) 
F17C5/06 (EP,US) 
Y02E60/32 (EP,US) 
Y02E60/34 (EP) 
Y02E60/36 (EP,US) 
Y02E70/30 (EP,US) 
Y02T10/70 (EP) 
Y02T10/7072 (EP) 
Y02T90/12 (EP,US) 
Y02T90/16 (EP) 
Y02T90/40 (EP,US)";"2021-08-26";"2020-03-31";"069904875";
"75";"Battery condition monitoring system and method for electric vehicle";"FAN QINGKE";"ZHEJIANG AGRICULTURAL BUSINESS COLLEGE";"CN106985688A";"2017-03-20";"B60L11/00 
B60L11/18 
B60L3/00 
B60R16/023 
C25B1/04 
C25B9/00";"B60L3/0046 (CN) 
B60L50/40 (CN) 
B60L53/60 (CN) 
B60L58/10 (CN) 
B60L58/16 (CN) 
B60R16/0232 (CN) 
C25B1/04 (CN) 
C25B9/00 (CN) 
Y02E60/36 (EP) 
Y02P20/133 (EP) 
Y02T10/70 (EP) 
Y02T10/7072 (EP) 
Y02T90/12 (EP) 
Y02T90/16 (EP)";"2017-07-28";"2017-07-28";"059411691";
"76";"Apparatus for controlling charging of a storage battery for use on an electric vehicle";"HOTTA YOSHIHIKO [JP]";"HONDA MOTOR CO LTD [JP]";"US5686812A";"1995-02-06";"H01M10/46 
B60L1/00 
B60L11/18 
H02J7/00 
H02J7/34";"B60L1/003 (EP,US) 
B60L1/02 (EP,US) 
B60L3/0046 (US) 
B60L53/14 (EP,US) 
B60L53/22 (EP,US) 
B60L58/14 (EP,US) 
B60L58/15 (EP,US) 
B60L58/26 (EP,US) 
B60L58/27 (EP,US) 
H02J7/0031 (EP,US) 
H02J7/0068 (EP,US) 
B60L2210/10 (EP,US) 
B60L2210/30 (EP,US) 
B60L2210/40 (EP,US) 
B60L2240/545 (EP,US) 
B60L2240/547 (EP,US) 
B60L2240/549 (EP,US) 
B60L2250/16 (EP,US) 
B60L2260/22 (EP,US) 
B60L2260/54 (EP,US) 
Y02T10/70 (EP,US) 
Y02T10/7072 (EP,US) 
Y02T10/72 (EP,US) 
Y02T90/12 (US) 
Y02T90/14 (EP,US) 
Y10S320/10 (EP,US) 
Y10S320/11 (EP,US)";"1997-11-11";"1996-08-20";"011966471";
"77";"Charge-status display system for an electric vehicle";"SUYAMA KOUICHI [JP]";"HONDA MOTOR CO LTD [JP]";"US5596261A";"1992-01-29";"G01N27/416 
G08B21/00 
H02J7/00 
B60L11/18 
G01R31/36 
H02J7/00 
H02J7/02 
H04Q9/00 
G01R31/00";"B60L3/0069 (EP,US) 
B60L3/04 (EP,US) 
B60L50/51 (EP,US) 
B60L53/14 (EP,US) 
B60L53/68 (EP,US) 
B60L58/12 (EP,US) 
G01R31/3648 (EP,US) 
G01R31/3842 (EP,US) 
H02J7/0048 (EP,US) 
B60L2210/12 (EP,US) 
B60L2250/16 (EP,US) 
G01R31/006 (EP,US) 
G01R31/371 (EP,US) 
G01R31/374 (EP,US) 
H02J7/0047 (EP,US) 
H02J7/0049 (EP,US) 
Y02T10/70 (EP,US) 
Y02T10/7072 (EP,US) 
Y02T10/72 (EP,US) 
Y02T90/12 (EP,US) 
Y02T90/14 (EP,US) 
Y02T90/16 (EP,US) 
Y02T90/167 (EP,US) 
Y04S30/12 (EP,US) 
Y10S320/13 (EP,US) 
Y10S320/19 (EP,US)";"1997-01-21";"1993-08-20";"011859059";
"78";"Intelligent 12 V charging method of fuel cell hybrid power system for hydrogen fuel cell vehicle";"AN YUANYUAN 
HAO YIGUO 
CHEN HUAMING";"WUHAN GROVE HYDROGEN AUTOMOBILE CO LTD";"CN112564213A";"2020-11-30";"B60L50/75 
H02J7/00 
H02J7/34";"B60L50/75 (CN) 
H02J7/00032 (CN) 
H02J7/34 (CN) 
H02J7/342 (CN) 
H02J2207/40 (CN) 
Y02T10/70 (EP) 
Y02T90/40 (EP)";"2021-03-26";"2021-03-26";"075046799";
"79";"Fuel cell moving charging vehicle and charging controlling method thereof";"SUN LEI";"WEICHAI POWER CO LTD";"CN107985087A";"2017-10-17";"B60L11/18";"B60L53/14 (CN) 
B60L58/10 (CN) 
B60L58/12 (CN) 
B60L58/30 (CN) 
Y02T10/70 (EP) 
Y02T10/7072 (EP) 
Y02T10/72 (EP) 
Y02T90/14 (EP) 
Y02T90/40 (EP)";"2018-05-04";"2018-05-04";"062029696";
"80";"Rapid Energy Recharge System for a Battery Electric Vehicle";"RAGHAVAN MADHUSUDAN [US]";"RAGHAVAN MADHUSUDAN [US] 
GM GLOBAL TECH OPERATIONS INC [US]";"US2012306442A1 
US8854000B2";"2011-06-01";"H02J7/00 
B60K6/20 
H02J15/00";"H02J7/00 (EP,US) 
H02J15/003 (EP,US) 
H02J15/006 (EP,US) 
H02J2310/48 (EP)";"2012-12-06 
2014-10-07";"2012-12-06";"047261164";
"81";"Emergency power supply system in case of power failure in electric vehicle charging station";"";"";"KR102352045B1 
KR20210136206A";"2020-05-06";"B60L53/24 
B60L53/31 
B60L53/60 
G01R22/06 
H01M8/04082 
H01M8/0612 
H02J9/06 
H02M7/44";"B60L53/24 (KR) 
B60L53/31 (KR) 
B60L53/60 (KR) 
G01R22/06 (KR) 
H01M16/006 (KR) 
H01M8/04201 (KR) 
H01M8/04216 (KR) 
H01M8/0494 (KR) 
H01M8/04947 (KR) 
H01M8/0618 (KR) 
H02J9/06 (KR) 
H02M7/44 (KR) 
B60L2210/40 (KR) 
B60Y2200/91 (KR) 
H01M2220/10 (KR) 
H01M2250/20 (KR) 
Y02B90/10 (EP) 
Y02E60/10 (EP) 
Y02E60/50 (EP) 
Y02T10/70 (EP,KR) 
Y02T10/7072 (EP) 
Y02T10/72 (KR) 
Y02T90/12 (EP) 
Y02T90/14 (EP) 
Y02T90/40 (KR)";"2021-11-17 
2022-01-17";"2021-11-17";"078702700";
"82";"Methanol-water hybrid electric vehicle";"GAO JIMING 
YANG YANZHANG";"GUANGDONG CREATE TECH CO LTD";"CN212046911U";"2020-03-26";"B60L50/75 
B60L58/33 
B60L58/40 
H01M8/0612";"Y02E60/50 (EP) 
Y02T10/70 (EP) 
Y02T90/40 (EP)";"2020-12-01";"2020-12-01";"073540816";
"83";"Hybrid power system of vehicle-mounted molten aluminum hydrogen production fuel cell electric vehicle";"WU QIAN 
YE LIANZHONG 
WU QIANG 
WU WANYI";"GUANGDONG HONGYUAN HYDROGEN POWER EQUIPMENT MFG CO LTD";"CN210133019U";"2019-05-31";"B60L50/75 
B60L58/40 
H01M8/0656";"Y02E60/50 (EP) 
Y02T10/70 (EP) 
Y02T90/40 (EP)";"2020-03-10";"2020-03-10";"069706382";
"84";"NICKEL-HYDROGEN BATTERY FOR ELECTRIC VEHICLE";"KISHIMOTO NORIYOSHI 
HINO YUZO 
ITO TAKASHI 
OSHITANI MASAHIKO 
SATO NOBORU 
YAGI KAZUHIKO";"YUASA BATTERY CO LTD 
HONDA MOTOR CO LTD";"JP2000173645A";"1998-12-07";"B60L11/18 
H01M10/30 
B60L11/18 
H01M10/30";"Y02E60/10 (EP) 
Y02T10/70 (EP)";"2000-06-23";"2000-06-23";"018386090";
"85";"Charging circuit of nickel-metal hydride battery pack, power supply device and vehicle";"ZHANG YI 
CHEN SHUHUA 
CHEN CHANGJIAN 
SHAN ERHU";"ZHEJIANG LEAPMOTOR TECH CO LTD";"CN220914981U";"2023-10-09";"B60R16/033 
H02J7/00";"";"2024-05-07";"2024-05-07";"090907121";
"86";"VÉHICULE ÉLECTRIQUE À COMBUSTIBLE À BASE D'HYDROGÈNE ET PROCÉDÉ ET SYSTÈME DE GESTION POUR UN VÉHICULE ÉLECTRIQUE À COMBUSTIBLE À BASE D'HYDROGÈNE";"SUN XIANG [CN] 
CEN JIAN [CN] 
QIAN CHENG [CN]";"YOUON TECH CO LTD [CN]";"WO2022199658A1";"2021-03-26";"B60L58/30 
H01M8/04313";"B60L58/30 (CN) 
H01M8/04156 (CN) 
H01M8/04302 (CN) 
Y02E60/50 (EP) 
Y02T10/70 (EP) 
Y02T90/40 (EP)";"2022-09-29";"2021-07-06";"076610376";
"87";"Power battery assembly of electric automobile and electric automobile";"ICHIKAWA SHINJI 
KATAYAMA YUSUKE 
IWAMURA TORU 
OBA AKIHIKO 
LI JINGYI";"TOYOTA MOTOR CORP";"CN211468177U";"2019-11-01";"B60L50/75";"Y02T10/70 (EP) 
Y02T90/40 (EP)";"2020-09-11";"2020-09-11";"072365422";
"88";"CHARGING/DISCHARGING CONTROL DEVICE FOR NICKEL HYDROGEN BATTERY";"KINOSHITA NAOKI 
ARAKI KAZUHIRO 
ISHIKURA YOSHIJI 
OKAMOTO KAZUHISA";"HONDA MOTOR CO LTD";"JP2003217677A";"2002-01-17";"G01R31/36 
H01M10/44 
H01M10/48 
H01M10/50 
H02J7/00 
G01R31/36 
H01M10/44 
H01M10/48 
H01M10/60 
H01M10/613 
H01M10/625 
H01M10/633 
H01M10/635 
H01M10/6556 
H01M10/6567 
H01M10/66 
H02J7/00";"Y02E60/10 (EP)";"2003-07-31";"2003-07-31";"027646759";
"89";"Pure electric vehicle traction type motor home power supply equipment";"WANG FUYI";"SANCHUANG LIANMENG CANGZHOU LINGANG TECH CO LTD";"CN114889713A";"2022-06-25";"B60L53/14 
B60L53/16 
B60P3/32 
B60R16/03 
B62D53/00";"B60L53/14 (CN) 
B60L53/16 (CN) 
B60P3/32 (CN) 
B60R16/03 (CN) 
B60R16/0307 (CN) 
B60R16/0315 (CN) 
B62D53/00 (CN) 
Y02T10/72 (EP)";"2022-08-12";"2022-08-12";"082730200";
"90";"Hydrogen-electric heavy truck";"YUFU TANG 
JIAZHEN YUAN";"JIAZHEN YUAN";"CN101830183A";"2010-04-23";"B60L11/18";"Y02T10/70 (EP) 
Y02T10/72 (EP)";"2010-09-15";"2010-09-15";"042714454";
"91";"ELECTRIC VEHICLE";"SAKAMOTO KENJI 
KUSHIBE TETSUAKI";"TOYODA AUTOMATIC LOOM WORKS";"JPH02168802A";"1988-12-22";"B60L11/18 
H01M8/00 
B60L11/18 
H01M8/00 
H01M8/04 
H01M16/00";"B60L1/003 (EP) 
B60L58/12 (EP,US) 
B60L58/40 (EP) 
H01M16/006 (EP) 
H01M8/04373 (EP,US) 
H01M8/04567 (EP) 
H01M8/04597 (EP) 
H01M8/04753 (EP) 
H01M8/0494 (EP) 
H01M8/04955 (EP) 
B60L2210/10 (EP) 
B60L2240/545 (EP) 
B60L2240/547 (EP) 
B60L2240/549 (EP) 
Y02E60/10 (EP) 
Y02E60/50 (EP) 
Y02T10/70 (EP) 
Y02T10/72 (EP)";"1990-06-28";"1990-06-28";"018177153";
"92";"Water hydrogen hydrogenation charging station";"LI KUNCHUN";"LI KUNCHUN";"CN207442478U";"2017-09-26";"H01M8/0656 
H02J7/00";"Y02E60/50 (EP)";"2018-06-01";"2018-06-01";"062294634";
"93";"Hydrogen-electricity double-drive range-extending type hybrid electric vehicle";"LOU XIAODONG 
LOU YANBIN";"LOU XIAODONG";"CN116767175A";"2021-05-07";"B60L50/30 
B60L50/75 
B60W20/15 
B60W20/50";"";"2023-09-19";"2023-09-19";"088008560";
