"No";"Title";"Inventors";"Applicants";"Publication number";"Earliest priority";"IPC";"CPC";"Publication date";"Earliest publication";"Family number";
"44";"Apparatus for controlling charging of a storage battery for use on an electric vehicle";"HOTTA YOSHIHIKO [JP]";"HONDA MOTOR CO LTD [JP]";"US5686812A";"1995-02-06";"H01M10/46 
B60L1/00 
B60L11/18 
H02J7/00 
H02J7/34";"B60L1/003 (EP,US) 
B60L1/02 (EP,US) 
B60L3/0046 (US) 
B60L53/14 (EP,US) 
B60L53/22 (EP,US) 
B60L58/14 (EP,US) 
B60L58/15 (EP,US) 
B60L58/26 (EP,US) 
B60L58/27 (EP,US) 
H02J7/0031 (EP,US) 
H02J7/0068 (EP,US) 
B60L2210/10 (EP,US) 
B60L2210/30 (EP,US) 
B60L2210/40 (EP,US) 
B60L2240/545 (EP,US) 
B60L2240/547 (EP,US) 
B60L2240/549 (EP,US) 
B60L2250/16 (EP,US) 
B60L2260/22 (EP,US) 
B60L2260/54 (EP,US) 
Y02T10/70 (EP,US) 
Y02T10/7072 (EP,US) 
Y02T10/72 (EP,US) 
Y02T90/12 (US) 
Y02T90/14 (EP,US) 
Y10S320/10 (EP,US) 
Y10S320/11 (EP,US)";"1997-11-11";"1996-08-20";"011966471";
"45";"COMBINED HYDROGEN FUEL CELL FOR VEHICLE FUELING, ELECTRIC VEHICLE FAST CHARGING AND FUEL CELL BACK-UP POWER FORECOURT";"VOLK JAMES JOSEPH [US] 
WENCK JAMES M [US] 
TAYLOR FRED [CA]";"GHD INC [US]";"US2022227247A1";"2021-01-21";"B60L50/70 
B60L53/10 
B60L53/54 
H01M8/04082";"B60L50/70 (US) 
B60L53/11 (EP) 
B60L53/51 (EP) 
B60L53/52 (EP) 
B60L53/54 (EP,US) 
H01M8/04201 (EP,US) 
H01M8/0656 (EP) 
C25B1/04 (EP,US) 
C25B15/00 (EP) 
H01M2250/20 (EP,US) 
H01M2250/402 (EP,US) 
Y02E60/36 (EP) 
Y02E60/50 (EP) 
Y02T10/70 (EP) 
Y02T10/7072 (EP) 
Y02T90/12 (EP) 
Y02T90/40 (EP)";"2022-07-21";"2022-07-21";"082406830";
"46";"Charge-status display system for an electric vehicle";"SUYAMA KOUICHI [JP]";"HONDA MOTOR CO LTD [JP]";"US5596261A";"1992-01-29";"G01N27/416 
G08B21/00 
H02J7/00 
B60L11/18 
G01R31/36 
H02J7/00 
H02J7/02 
H04Q9/00 
G01R31/00";"B60L3/0069 (EP,US) 
B60L3/04 (EP,US) 
B60L50/51 (EP,US) 
B60L53/14 (EP,US) 
B60L53/68 (EP,US) 
B60L58/12 (EP,US) 
G01R31/3648 (EP,US) 
G01R31/3842 (EP,US) 
H02J7/0048 (EP,US) 
B60L2210/12 (EP,US) 
B60L2250/16 (EP,US) 
G01R31/006 (EP,US) 
G01R31/371 (EP,US) 
G01R31/374 (EP,US) 
H02J7/0047 (EP,US) 
H02J7/0049 (EP,US) 
Y02T10/70 (EP,US) 
Y02T10/7072 (EP,US) 
Y02T10/72 (EP,US) 
Y02T90/12 (EP,US) 
Y02T90/14 (EP,US) 
Y02T90/16 (EP,US) 
Y02T90/167 (EP,US) 
Y04S30/12 (EP,US) 
Y10S320/13 (EP,US) 
Y10S320/19 (EP,US)";"1997-01-21";"1993-08-20";"011859059";
"47";"Emergency power supply system in case of power failure in electric vehicle charging station";"";"";"KR102352045B1 
KR20210136206A";"2020-05-06";"B60L53/24 
B60L53/31 
B60L53/60 
G01R22/06 
H01M8/04082 
H01M8/0612 
H02J9/06 
H02M7/44";"B60L53/24 (KR) 
B60L53/31 (KR) 
B60L53/60 (KR) 
G01R22/06 (KR) 
H01M16/006 (KR) 
H01M8/04201 (KR) 
H01M8/04216 (KR) 
H01M8/0494 (KR) 
H01M8/04947 (KR) 
H01M8/0618 (KR) 
H02J9/06 (KR) 
H02M7/44 (KR) 
B60L2210/40 (KR) 
B60Y2200/91 (KR) 
H01M2220/10 (KR) 
H01M2250/20 (KR) 
Y02B90/10 (EP) 
Y02E60/10 (EP) 
Y02E60/50 (EP) 
Y02T10/70 (EP,KR) 
Y02T10/7072 (EP) 
Y02T10/72 (KR) 
Y02T90/12 (EP) 
Y02T90/14 (EP) 
Y02T90/40 (KR)";"2021-11-17 
2022-01-17";"2021-11-17";"078702700";
"48";"HYDROGEN FUEL ELECTRIC VEHICLE, AND MANAGEMENT METHOD AND SYSTEM FOR HYDROGEN FUEL ELECTRIC VEHICLE";"SUN XIANG [CN] 
CEN JIAN [CN] 
QIAN CHENG [CN]";"YOUON TECH CO LTD [CN]";"WO2022199658A1";"2021-03-26";"B60L58/30 
H01M8/04313";"B60L58/30 (CN) 
H01M8/04156 (CN) 
H01M8/04302 (CN) 
Y02E60/50 (EP) 
Y02T10/70 (EP) 
Y02T90/40 (EP)";"2022-09-29";"2021-07-06";"076610376";
"49";"ELECTRIC VEHICLE";"SAKAMOTO KENJI 
KUSHIBE TETSUAKI";"TOYODA AUTOMATIC LOOM WORKS";"JPH02168802A";"1988-12-22";"B60L11/18 
H01M8/00 
B60L11/18 
H01M8/00 
H01M8/04 
H01M16/00";"B60L1/003 (EP) 
B60L58/12 (EP,US) 
B60L58/40 (EP) 
H01M16/006 (EP) 
H01M8/04373 (EP,US) 
H01M8/04567 (EP) 
H01M8/04597 (EP) 
H01M8/04753 (EP) 
H01M8/0494 (EP) 
H01M8/04955 (EP) 
B60L2210/10 (EP) 
B60L2240/545 (EP) 
B60L2240/547 (EP) 
B60L2240/549 (EP) 
Y02E60/10 (EP) 
Y02E60/50 (EP) 
Y02T10/70 (EP) 
Y02T10/72 (EP)";"1990-06-28";"1990-06-28";"018177153";
"50";"Battery condition monitoring system and method for electric vehicle";"FAN QINGKE";"ZHEJIANG AGRICULTURAL BUSINESS COLLEGE";"CN106985688A";"2017-03-20";"B60L11/00 
B60L11/18 
B60L3/00 
B60R16/023 
C25B1/04 
C25B9/00";"B60L3/0046 (CN) 
B60L50/40 (CN) 
B60L53/60 (CN) 
B60L58/10 (CN) 
B60L58/16 (CN) 
B60R16/0232 (CN) 
C25B1/04 (CN) 
C25B9/00 (CN) 
Y02E60/36 (EP) 
Y02P20/133 (EP) 
Y02T10/70 (EP) 
Y02T10/7072 (EP) 
Y02T90/12 (EP) 
Y02T90/16 (EP)";"2017-07-28";"2017-07-28";"059411691";
"51";"NICKEL-HYDROGEN BATTERY FOR ELECTRIC VEHICLE";"KISHIMOTO NORIYOSHI 
HINO YUZO 
ITO TAKASHI 
OSHITANI MASAHIKO 
SATO NOBORU 
YAGI KAZUHIKO";"YUASA BATTERY CO LTD 
HONDA MOTOR CO LTD";"JP2000173645A";"1998-12-07";"B60L11/18 
H01M10/30 
B60L11/18 
H01M10/30";"Y02E60/10 (EP) 
Y02T10/70 (EP)";"2000-06-23";"2000-06-23";"018386090";
"52";"Automatic charging device of motor battery module";"WENLE CHEN";"WENLE CHEN";"CN202261108U";"2011-09-08";"H02N11/00";"";"2012-05-30";"2012-05-30";"046122289";
"53";"Rapid Energy Recharge System for a Battery Electric Vehicle";"RAGHAVAN MADHUSUDAN [US]";"RAGHAVAN MADHUSUDAN [US] 
GM GLOBAL TECH OPERATIONS INC [US]";"US2012306442A1 
US8854000B2";"2011-06-01";"H02J7/00 
B60K6/20 
H02J15/00";"H02J7/00 (EP,US) 
H02J15/003 (EP,US) 
H02J15/006 (EP,US) 
H02J2310/48 (EP)";"2012-12-06 
2014-10-07";"2012-12-06";"047261164";
"54";"Scheduling method and system for electricity-hydrogen integrated charging station of new energy automobile";"YANG JIE 
YUE ZHIYUAN 
MA KAI 
LIU WEI 
GUO SHILIANG 
YUAN YAZHOU";"UNIV YANSHAN";"CN114784832A";"2022-04-25";"H02J15/00 
H02J3/00 
H02J3/06 
H02J3/32 
H02J3/38";"H02J15/008 (CN) 
H02J3/008 (CN) 
H02J3/06 (CN) 
H02J3/322 (CN) 
H02J3/38 (CN) 
H02J2300/30 (CN)";"2022-07-22";"2022-07-22";"082433419";
"55";"Battery management system of electric vehicle and battery management method of electric vehicle";"LI ZHI 
LIU BO 
LUO GUOZHOU";"HEADSUN TECH CO LTD";"CN108515846A 
CN108515846B";"2018-04-08";"B60L3/00 
B60L3/04 
B60L58/10";"B60L3/0046 (CN) 
B60L3/04 (CN) 
B60L58/10 (CN) 
B60L58/18 (CN) 
B60L58/21 (CN) 
B60L2240/545 (CN) 
B60L2240/547 (CN) 
B60L2240/549 (CN) 
Y02T10/70 (EP)";"2018-09-11 
2023-09-29";"2018-09-11";"063431728";
"56";"Fuel pressure-based power supply method and system of hydrogen fuel cell stack and hydrogen fuel electric vehicle";"LU MINMIN 
QIAN CHENG 
CEN JIAN 
ZE WEIJIE 
MA QIAN";"YOUON TECH CO LTD";"CN113085662A";"2021-03-29";"B60L58/30 
H01M10/44 
H01M8/0438";"B60L58/30 (CN) 
H01M10/44 (CN) 
H01M8/04388 (CN) 
H01M2250/20 (CN) 
Y02E60/10 (EP) 
Y02E60/50 (EP) 
Y02T90/40 (EP)";"2021-07-09";"2021-07-09";"076670437";
"57";"Pure electric vehicle traction type motor home power supply equipment";"WANG FUYI";"SANCHUANG LIANMENG CANGZHOU LINGANG TECH CO LTD";"CN114889713A";"2022-06-25";"B60L53/14 
B60L53/16 
B60P3/32 
B60R16/03 
B62D53/00";"B60L53/14 (CN) 
B60L53/16 (CN) 
B60P3/32 (CN) 
B60R16/03 (CN) 
B60R16/0307 (CN) 
B60R16/0315 (CN) 
B62D53/00 (CN) 
Y02T10/72 (EP)";"2022-08-12";"2022-08-12";"082730200";
"58";"Hydrogen fuel cell journey-increasing electric vehicle and display device thereof";"CHENG YAN";"BEIQI FOTON MOTOR CO LTD";"CN104842791A 
CN104842791B";"2014-11-24";"B60K35/00";"";"2015-08-19 
2017-11-03";"2015-08-19";"053842919";
"59";"Hydrogen fuel battery electric vehicle system";"ZHOU GENGXIN 
ZHOU LINGYAN 
ZHANG XIUYING";"ZHOU GENGXIN";"CN108162735A";"2018-02-02";"B60K1/00 
B60K1/02 
B60K15/03 
B60L7/10 
B60R16/03 
H02J7/14 
H02K7/18";"B60K1/00 (CN) 
B60K1/02 (CN) 
B60K15/03 (CN) 
B60L7/10 (CN) 
B60R16/0307 (CN) 
H02J7/1415 (CN) 
H02K7/18 (CN) 
B60K2001/005 (CN) 
Y02T10/64 (EP) 
Y02T10/70 (EP) 
Y02T10/92 (EP) 
Y02T90/167 (EP) 
Y04S30/12 (EP)";"2018-06-15";"2018-06-15";"062513217";
"60";"TEMPERATURE CONTROL SYSTEM AND METHOD FOR POWER BATTERY PACK OF ELECTRIC VEHICLE";"XIANG HUA [CN]";"GUANGDONG HYDROGEN ENERGY SCIENCE & TECH CO LTD [CN]";"WO2017148043A1";"2016-03-02";"H01M10/615 
H01M10/625 
H01M10/6561";"H01M10/615 (EP) 
H01M10/625 (EP) 
H01M10/6561 (EP) 
Y02E60/10 (EP)";"2017-09-08";"2016-06-08";"056492988";
"61";"CHARGING/DISCHARGING CONTROL DEVICE FOR NICKEL HYDROGEN BATTERY";"KINOSHITA NAOKI 
ARAKI KAZUHIRO 
ISHIKURA YOSHIJI 
OKAMOTO KAZUHISA";"HONDA MOTOR CO LTD";"JP2003217677A";"2002-01-17";"G01R31/36 
H01M10/44 
H01M10/48 
H01M10/50 
H02J7/00 
G01R31/36 
H01M10/44 
H01M10/48 
H01M10/60 
H01M10/613 
H01M10/625 
H01M10/633 
H01M10/635 
H01M10/6556 
H01M10/6567 
H01M10/66 
H02J7/00";"Y02E60/10 (EP)";"2003-07-31";"2003-07-31";"027646759";
"62";"Control system and method for hydrogen fuel cell in vehicle, and electric vehicle";"LUO SHEN 
LIN SHAOWEN 
SU LI 
LIN HONGDONG 
LI FEI 
WANG JIANMING 
CHEN GUANGHOU";"GUANGDONG POWER GRID CO 
ZHONGSHAN POWER SUPPLY BUREAU GUANGDONG POWER GRID CO";"CN113525181A";"2021-07-12";"B60L58/12 
B60L58/30 
B60L58/40 
H01M8/04537 
H01M8/04858 
H01M8/04992";"B60L58/12 (CN) 
B60L58/30 (CN) 
B60L58/40 (CN) 
H01M8/04619 (CN) 
H01M8/0494 (CN) 
H01M8/04992 (CN) 
Y02E60/50 (EP) 
Y02T10/70 (EP) 
Y02T90/40 (EP)";"2021-10-22";"2021-10-22";"078098645";
"63";"BATTERY CHARGING/DISCHARGING CONTROLLER AND CONTROL METHOD";"YOSHIDA KAZUHIKO 
MAKINO TASUKE 
NAKAMURA SATOSHI 
TOSHIMA KAZUO 
IWASE MASAYOSHI";"NIPPON SOKEN 
TOYOTA MOTOR CORP";"JP2000253589A";"1999-03-03";"B60L11/18 
G01N27/26 
G01N27/41 
H01M10/44 
H01M10/48 
H02J7/00 
B60L11/18 
G01N27/26 
G01N27/41 
H01M10/44 
H01M10/48 
H02J7/00";"Y02E60/10 (EP) 
Y02T10/70 (EP)";"2000-09-14";"2000-09-14";"013004003";
"64";"COMMUNICATION SYSTEMS AND METHODS FOR HYDROGEN FUELING AND ELECTRIC CHARGING";"BOISEN JESPER NISSEN [DK] 
GAMBONE LIVIO RICHARD [US] 
GRABOVSKIJ GRIGORIJ J [DE] 
SCHNEIDER JESSE MICHAEL [US] 
SVENDSEN JACOB APPELT VIBE [DK] 
VIG BJARNE [DK]";"NIKOLA CORP [US] 
NEL HYDROGEN AS [DK]";"US10960783B2 
US2020346554A1";"2019-02-18";"B60L50/71 
B60L53/66 
B60S5/02 
B67D7/32 
H04B5/00 
H04W4/40 
H04W76/10";"B60L3/0053 (EP) 
B60L50/71 (KR,US) 
B60L53/66 (KR,US) 
B60L58/30 (EP,KR) 
B60S5/02 (KR,US) 
B67D7/04 (US) 
B67D7/3218 (KR,US) 
B67D7/3281 (KR,US) 
F17C5/06 (KR) 
H04B5/20 (EP,KR) 
H04B5/70 (EP,KR) 
H04B5/72 (US) 
H04B5/77 (KR) 
H04W4/40 (EP,KR,US) 
H04W4/80 (EP,KR,US) 
H04W76/10 (US) 
B60L2240/36 (KR,US) 
F17C2205/05 (EP,KR) 
F17C2205/058 (EP,KR) 
F17C2221/012 (EP,KR) 
F17C2223/0123 (EP,KR) 
F17C2223/036 (EP,KR) 
F17C2250/034 (EP,KR) 
F17C2265/065 (EP,KR) 
F17C2270/0139 (EP,KR) 
H04W4/44 (EP) 
H04W4/46 (EP) 
Y02E60/32 (EP,KR) 
Y02T10/70 (EP) 
Y02T10/7072 (EP) 
Y02T90/12 (EP) 
Y02T90/16 (EP) 
Y02T90/167 (KR) 
Y02T90/40 (EP,KR)";"2020-11-05 
2021-03-30";"2020-08-27";"072144408";
"65";"Traction type recreational vehicle power supply equipment of hybrid electric vehicle";"ZHOU HAI";"SANCHUANG LIANMENG CANGZHOU LINGANG TECH CO TLD";"CN112622792A";"2021-01-25";"B60P3/36 
B60R16/033 
H02J7/35";"B60P3/36 (CN) 
B60R16/033 (CN) 
H02J7/35 (CN) 
Y02B10/10 (EP)";"2021-04-09";"2021-04-09";"075295465";
"66";"Electric vehicle charging pile based on solar power generation";"LI MEICHUAN 
FENG LANSHENG";"XI AN BOYU GREEN ENERGY CO LTD";"CN204304494U";"2014-11-24";"H02J7/00";"";"2015-04-29";"2015-04-29";"053110006";
"67";"Electric vehicle charging station based on electricity generation by reforming hydrogen production fuel cells";"ZHANG DING";"LIXING HYDROGEN TECH CO LTD";"CN110843566A 
CN110843566B";"2019-10-11";"B60L53/30 
B60L53/54 
B60L53/60 
H01M8/0612";"B60L53/30 (CN) 
B60L53/54 (CN) 
B60L53/60 (CN) 
H01M8/0618 (CN) 
Y02E60/50 (EP) 
Y02T10/70 (EP) 
Y02T10/7072 (EP) 
Y02T90/12 (EP)";"2020-02-28 
2020-12-29";"2020-02-28";"069596141";
"68";"Solar energy generation-based electric vehicle charging pile";"LI MEICHUAN 
FENG LANSHENG";"XI'AN BOYU GREEN ENERGY CO LTD";"CN105703406A";"2014-11-24";"H02J7/00";"";"2016-06-22";"2016-06-22";"056941377";
"69";"MOBILE ELECTRIC VEHICLE CHARGING STATION SYSTEM";"GOEI ESMOND [US]";"POWER HERO CORP [US]";"US12151582B2 
US2022332210A1";"2018-05-15";"G06Q10/10 
B60L53/53 
B60L53/66 
B60L53/67 
B60L53/68 
G05B13/02 
G08G1/00 
G06Q10/1093 
H02J7/00 
H02J7/14 
H04L67/12";"B60L53/305 (EP) 
B60L53/53 (US) 
B60L53/63 (EP) 
B60L53/665 (US) 
B60L53/67 (EP,US) 
B60L53/68 (EP,US) 
G05B13/0265 (US) 
G06Q10/1095 (EP,US) 
G08G1/202 (EP,US) 
B60L2240/80 (EP) 
H04L67/12 (EP,US) 
Y02E10/50 (EP) 
Y02E60/00 (EP) 
Y02T10/70 (EP) 
Y02T10/7072 (EP) 
Y02T90/12 (EP) 
Y02T90/16 (EP) 
Y02T90/167 (EP) 
Y04S10/126 (EP)";"2022-10-20 
2024-11-26";"2019-11-21";"068534112";
"70";"Automatic charging device for electric vehicle battery module";"CHEN WENLE";"CHEN WENLE";"CN103001264A";"2011-09-08";"B60L11/18 
H02J7/00";"Y02T10/70 (EP)";"2013-03-27";"2013-03-27";"047929532";
"71";"BATTERY MANAGING DEVICE FOR ELECTRIC VEHICLE";"ARAI YOICHI 
SAIGO TSUTOMU 
ENOMOTO MICHIHITO";"YAZAKI CORP";"JP2000173675A";"1998-12-04";"B60L3/00 
H01M10/48 
H01M10/50 
B60L3/00 
H01M10/48 
H01M10/60 
H01M10/613 
H01M10/625 
H01M10/6563";"Y02E60/10 (EP)";"2000-06-23";"2000-06-23";"018380246";
"72";"Power supply duration-based power supply method and system for hydrogen fuel cell stack and hydrogen fuel electric vehicle";"LU MINMIN 
QIAN CHENG 
CEN JIAN 
ZE WEIJIE 
MA QIAN";"YOUON TECH CO LTD";"CN113085661A";"2021-03-29";"B60L58/30 
H01M10/44 
H01M8/04537";"B60L58/30 (CN) 
H01M10/44 (CN) 
H01M8/04619 (CN) 
H01M2250/20 (CN) 
Y02E60/10 (EP) 
Y02E60/50 (EP) 
Y02T90/40 (EP)";"2021-07-09";"2021-07-09";"076670418";
"73";"NICKEL-HYDROGEN STORAGE BATTERY AND HYBRID ELECTRIC VEHICLE";"NIIYAMA KATSUHIKO 
KIYOKU YOSHIFUMI 
KUMAGAI KIYOSHI 
TANAKA TADAYOSHI 
NAKAMURA HIROSHI";"SANYO ELECTRIC CO";"JP2005129382A";"2003-10-24";"B60L11/18 
H01M10/30 
H01M4/32 
B60L11/18 
H01M10/30 
H01M4/32";"Y02E60/10 (EP) 
Y02T10/70 (EP)";"2005-05-19";"2005-05-19";"034643354";
"74";"Extended-range electric vehicle power assembly system";"HE ZHENHUA 
XU JIXIANG 
XU HAOYAO";"UNIV WUHAN TECH";"CN115817210A";"2022-11-18";"B60L50/60 
B60L50/70";"Y02T10/70 (EP)";"2023-03-21";"2023-03-21";"085528953";
"75";"Double dynamical hydrogen energy charging system of electric automobile";"LI XIN 
PEI JING 
LI LEI";"GUOKEGONGXIN BEIJING NEW ENERGY SCIENCE INST";"CN206968376U";"2017-04-17";"B60K1/02 
B60L11/18";"Y02T10/70 (EP)";"2018-02-06";"2018-02-06";"061415160";
"76";"Method and device for configuring capacity of light hydrogen storage comprehensive charging station equipment";"WANG MIN 
DONG XIAOBIN 
ZHOU TAO 
ZHAI YOUCHUN";"RIVER AND SEA UNIV";"CN114567009A";"2022-03-03";"C25B1/04 
C25B9/00 
G06F30/20 
G06Q10/04 
G06Q10/06 
G06Q50/06 
H02J3/28 
H02J3/32 
H02J3/38 
H02J7/00 
H02J7/32 
H02J7/35";"C25B1/04 (CN) 
C25B9/00 (CN) 
G06F30/20 (CN) 
G06Q10/04 (CN) 
G06Q10/06313 (CN) 
G06Q10/06315 (CN) 
G06Q50/06 (CN) 
H02J3/28 (CN) 
H02J3/32 (CN) 
H02J3/381 (CN) 
H02J7/0048 (CN) 
H02J7/0068 (CN) 
H02J7/32 (CN) 
H02J7/35 (CN) 
G06F2111/04 (CN) 
G06F2119/06 (CN) 
G06F2119/08 (CN) 
H02J2203/20 (CN) 
H02J2300/22 (CN) 
H02J2300/30 (CN) 
H02J2300/40 (CN) 
Y02T90/12 (EP)";"2022-05-31";"2022-05-31";"081717604";
"77";"SUPPLY STATION AND METHOD CAPABLE OF CHARGING ELECTRICITY AND FILLING WITH HYDROGEN GAS SIMULTANEOUSLY OR SEPARATELY";"PICKLES JEFF [US] 
KU ANTHONY [US] 
LI XIANMING JIMMY [US] 
SINGH SURINDER [US] 
ALLEN JEFF [US]";"CHINA ENERGY INVESTMENT CORP LTD [CN] 
NAT INST CLEAN & LOW CARBON ENERGY [CN]";"US2021261010A1";"2018-09-25";"B60L50/75 
B60L53/30 
B60L53/53 
B60L53/54 
F17D1/04 
H02J7/02";"B60L50/75 (US) 
B60L53/30 (EP,US) 
B60L53/53 (EP,US) 
B60L53/54 (EP,US) 
F17D1/04 (CN,US) 
F17D3/01 (CN) 
H02J15/008 (EP) 
H02J7/02 (EP,US) 
F17C2221/012 (EP) 
F17C2223/0123 (EP) 
F17C2223/036 (EP) 
F17C2225/0123 (EP) 
F17C2225/036 (EP) 
F17C2265/04 (EP,US) 
F17C2265/065 (US) 
F17C2270/0139 (EP,US) 
F17C5/06 (EP,US) 
Y02E60/32 (EP,US) 
Y02E60/34 (EP) 
Y02E60/36 (EP,US) 
Y02E70/30 (EP,US) 
Y02T10/70 (EP) 
Y02T10/7072 (EP) 
Y02T90/12 (EP,US) 
Y02T90/16 (EP) 
Y02T90/40 (EP,US)";"2021-08-26";"2020-03-31";"069904875";
"78";"ELECTRIC VEHICLE";"MIZUSHITA YOSHINORI 
SHEN HAO 
TAKEI RIKI 
YAMAURA KIYOSHI";"MITSUBISHI MOTORS CORP";"JP2024121317A";"2023-02-27";"B60L50/75 
B60L58/13 
B60L58/40 
H01M8/00 
H01M8/04228 
H01M8/04303 
H01M8/0438 
H01M8/04537 
H01M8/04694 
H01M8/04858";"Y02E60/50 (EP)";"2024-09-06";"2024-09-06";"092594456";
"79";"Power bank for electric vehicle";"WANG CIBO";"WANG CIBO";"CN109849717A";"2019-02-14";"B60L53/54 
B60L53/62";"Y02T10/70 (EP) 
Y02T10/7072 (EP) 
Y02T90/12 (EP)";"2019-06-07";"2019-06-07";"066897865";
"80";"Real-time four-wheel driven water-hydrogen electric vehicle";"XIANG HUA 
XIANG SHENGLI";"GUANGDONG HYDROGEN ENERGY SCIENCE & TECH CO LTD";"CN108258277A";"2016-12-28";"B60L11/18 
H01M8/0612";"B60L58/30 (CN) 
H01M8/0618 (CN) 
Y02E60/50 (EP) 
Y02T10/70 (EP) 
Y02T90/40 (EP)";"2018-07-06";"2018-07-06";"062720413";
"81";"ALKALINE BATTERY CHARGING DEVICE";"SAKAGAMI YUICHI 
KAWAI TOSHIYUKI 
KATO TOMOYA";"NIPPON SOKEN 
DENSO CORP";"JP3817863B2 
JPH11135157A";"1997-10-29";"H01M10/44 
H01M10/44";"Y02E60/10 (EP)";"1999-05-21 
2006-09-06";"1999-05-21";"017847551";
"82";"Electric automobile with hydrogen energy charging device";"LI XIN 
PEI JING 
LI LEI";"GUOKEGONGXIN BEIJING NEW ENERGY SCIENCE INST";"CN206968419U";"2017-04-17";"B60L11/18";"Y02T10/70 (EP)";"2018-02-06";"2018-02-06";"061415137";
"83";"Self-Charging Battery System for Electric Vehicles";"WERTZ BRUCE DOUGLAS [US] 
TRIMBLE MONTY CHARLES [US]";"SELF CHARGE EV SYSTEMS LLC [US]";"US2024351453A1";"2023-04-19";"B60K15/03 
B60K6/26 
B60K6/28 
B60K6/46 
B60L50/62 
B60L53/51";"B60K15/03 (EP,US) 
B60K6/26 (US) 
B60K6/28 (US) 
B60K6/46 (US) 
B60L50/62 (EP,US) 
B60L53/51 (EP,US) 
B60L8/003 (EP) 
B60K2015/03315 (EP,US) 
B60Y2200/92 (EP,US) 
B60Y2300/91 (EP,US) 
B60Y2400/102 (EP,US) 
B60Y2400/106 (EP,US) 
B60Y2400/112 (EP,US) 
B60Y2400/216 (EP,US)";"2024-10-24";"2024-10-24";"093122706";
"84";"Charging system and method of electric vehicle based on wireless charging";"WU SIJUN 
XIE SHUIYING 
GAO LONGSHI";"ZHEJIANG IND POLYTECHNIC COLLEGE";"CN106945548A";"2017-03-20";"B60L11/18";"B60L53/12 (CN) 
B60L53/51 (CN) 
B60L53/52 (CN) 
B60L53/54 (CN) 
B60L53/60 (CN) 
Y02T10/70 (EP) 
Y02T10/7072 (EP) 
Y02T90/12 (EP) 
Y02T90/14 (EP) 
Y02T90/16 (EP)";"2017-07-14";"2017-07-14";"059471918";
"85";"Fuel cell electric vehicle";"LI TIANRUI 
WEI YAJUAN 
SONG ZONGNAN 
YANG JIE 
WANG SHAOTING";"BEIQI FOTON MOTOR CO LTD";"CN205292313U";"2015-11-13";"B60K1/00 
B60K1/04 
B60L11/18 
B60R16/02 
B62D21/02";"";"2016-06-08";"2016-06-08";"056463539";
"86";"Auxiliary simulation device for electric vehicle power battery voltage balance teaching";"CHEN SHANQIU 
FAN JIANWEN 
FANG RUILIAN 
JIANG ZONGJUN 
FENG CIHANG 
CHEN CHUNLIN 
ZHAO HAIJING 
XIE YIJIE";"LUSHAN COLLEGE GUANGXI UNIV SCIENCE & TECHNOLOGY";"CN108986610A";"2018-08-16";"G09B23/18";"G09B23/188 (CN)";"2018-12-11";"2018-12-11";"064553642";
"87";"AUXILIARY RANGE EXTENSION FOR BATTERY ELECTRIC VEHICLE";"BURCHETT CHAD [US]";"VOLVO TRUCK CORP [SE] 
BURCHETT CHAD [US]";"WO2022211819A1";"2021-04-02";"B60L50/10 
B60L50/60 
B60L50/61 
B60L58/10 
B60L58/12 
B60L58/18 
B60L7/00";"B60L50/10 (EP) 
B60L50/60 (EP) 
B60L50/61 (EP) 
B60L58/10 (EP) 
B60L58/12 (EP) 
B60L58/18 (EP) 
B60L7/00 (EP) 
B60L2200/28 (EP) 
B60L2200/36 (EP)";"2022-10-06";"2022-10-06";"075674973";
"88";"CHARGE CONTROL DEVICE AND CHARGING SYSTEM";"GOTO IKURO";"SUBARU CORP";"JP2018143032A";"2017-02-27";"B60K8/00 
B60L11/18 
H02J7/00";"Y02T10/70 (EP)";"2018-09-13";"2018-09-13";"063526941";
"89";"Heat management method for fuel battery and lithium battery hybrid electric vehicle with liquid hydrogen as gas source";"JI CHANGWEI 
BAI YONGYI 
WANG SHUOFENG 
NIU HUIPENG";"UNIV BEIJING TECHNOLOGY";"CN110803070A 
CN110803070B";"2019-12-02";"B60L58/34 
H01M10/613 
H01M10/615 
H01M10/625 
H01M10/66 
H01M8/04029 
H01M8/04223";"B60L58/34 (CN) 
H01M10/613 (CN) 
H01M10/615 (CN) 
H01M10/625 (CN) 
H01M10/66 (CN) 
H01M8/04029 (CN) 
H01M8/04268 (CN) 
Y02E60/10 (EP) 
Y02E60/50 (EP) 
Y02T90/40 (EP)";"2020-02-18 
2021-04-16";"2020-02-18";"069492052";
"90";"FIRE EXTINGUISHING DEVICE FOR ELECTRIC VEHICLE BATTERIES";"KANG HIE CHAN [KR]";"NAT UNIV KUNSAN IACF [KR]";"US2024157182A1";"2022-11-14";"A62C3/07";"A62C3/07 (EP,US) 
A62C3/16 (EP) 
A62C35/62 (EP)";"2024-05-16";"2023-04-03";"085936554";
