No,Title,Inventors,Applicants,Publication number,Earliest priority,IPC,CPC,Publication date,Earliest publication,Family number,first publication date,second publication date,first publication number,second publication number,first publication country,second publication country,first filing year,earliest priority year,applicant country,family_jurisdictions,family_members
38,Method and means for electric vehicle battery charging,VAANANEN MIKKO KALERVO [FI],VAANANEN MIKKO KALERVO [FI],US2022258626A1,2021-02-17,"['B60L50/60', 'B60L53/14', 'H01B12/04', 'H01B12/12', 'H01M50/522']","['B60L50/60 (US)', 'B60L53/14 (US)', 'B60L53/18 (EP)', 'B60L53/302 (EP)', 'H01B12/04 (US)', 'H01B12/12 (US)', 'H01M50/522 (EP,US)', 'H01B12/16 (EP,US)', 'H01M2220/20 (EP,US)', 'H10N60/855 (US)', 'H10N60/857 (US)']",2022-08-18,2022-08-18,82801023,2022-08-18,,US2022258626A1,,US,,2022,2021,FI,"['EP', 'US', 'WO']","['EP4294661A1', 'EP4294661A4', 'US2022258626A1', 'WO2022175591A1']"
39,Electric automobile with hydrogen energy charging device,"LI XIN 
PEI JING 
LI LEI",GUOKEGONGXIN BEIJING NEW ENERGY SCIENCE INST,CN206968419U,2017-04-17,['B60L11/18'],['Y02T10/70 (EP)'],2018-02-06,2018-02-06,61415137,2018-02-06,,CN206968419U,,CN,,2018,2017,,['CN'],['CN206968419U']
40,COMMUNICATION SYSTEMS AND METHODS FOR HYDROGEN FUELING AND ELECTRIC CHARGING,"BOISEN JESPER NISSEN [DK] 
GAMBONE LIVIO RICHARD [US] 
GRABOVSKIJ GRIGORIJ J [DE] 
SCHNEIDER JESSE MICHAEL [US] 
SVENDSEN JACOB APPELT VIBE [DK] 
VIG BJARNE [DK]","NIKOLA CORP [US] 
NEL HYDROGEN AS [DK]","US10960783B2 
US2020346554A1",2019-02-18,"['B60L50/71', 'B60L53/66', 'B60S5/02', 'B67D7/32', 'H04B5/00', 'H04W4/40', 'H04W76/10']","['B60L3/0053 (EP)', 'B60L50/71 (KR,US)', 'B60L53/66 (KR,US)', 'B60L58/30 (EP,KR)', 'B60S5/02 (KR,US)', 'B67D7/04 (US)', 'B67D7/3218 (KR,US)', 'B67D7/3281 (KR,US)', 'F17C5/06 (KR)', 'H04B5/20 (EP,KR)', 'H04B5/70 (EP,KR)', 'H04B5/72 (US)', 'H04B5/77 (KR)', 'H04W4/40 (EP,KR,US)', 'H04W4/80 (EP,KR,US)', 'H04W76/10 (US)', 'B60L2240/36 (KR,US)', 'F17C2205/05 (EP,KR)', 'F17C2205/058 (EP,KR)', 'F17C2221/012 (EP,KR)', 'F17C2223/0123 (EP,KR)', 'F17C2223/036 (EP,KR)', 'F17C2250/034 (EP,KR)', 'F17C2265/065 (EP,KR)', 'F17C2270/0139 (EP,KR)', 'H04W4/44 (EP)', 'H04W4/46 (EP)', 'Y02E60/32 (EP,KR)', 'Y02T10/70 (EP)', 'Y02T10/7072 (EP)', 'Y02T90/12 (EP)', 'Y02T90/16 (EP)', 'Y02T90/167 (KR)', 'Y02T90/40 (EP,KR)']","2020-11-05 
2021-03-30",2020-08-27,72144408,2020-11-05,2021-03-30,US10960783B2,"
US2020346554A1",US,"
",2020,2019,US,"['EP', 'JP', 'KR', 'US', 'WO']","['EP3721130A1', 'EP3721130A4', 'EP3721130B1', 'JP2022141678A', 'JP2022518615A', 'KR20210130193A', 'US10800281B2', 'US10960783B2', 'US11926237B2', 'US2020276909A1', 'US2020346554A1', 'US2021371269A1', 'WO2020172100A1']"
41,"SYSTÈME DE CHARGE DE VÉHICULE ÉLECTRIQUE UTILISANT UNE ÉNERGIE MOBILE, RAPIDE ET PROPRE",CELIK AHMET OZAN [TR],ESKISEHIR TEKNIK UNIV [TR],WO2023146504A1,2021-01-28,"['B60L53/51', 'B60L53/66', 'B60L7/10', 'H02J7/35']","['B60L53/51 (EP)', 'B60L53/53 (EP)', 'B60L53/665 (EP)', 'B60L7/10 (EP)', 'H02J7/342 (EP)', 'H02J7/35 (EP)', 'Y02T10/70 (EP)', 'Y02T10/7072 (EP)', 'Y02T90/12 (EP)']",2023-08-03,2022-08-04,82653775,2023-08-03,,WO2023146504A1,,WO,,2023,2021,TR,"['EP', 'TR', 'WO']","['EP4285458A2', 'EP4285458A4', 'TR202101311A1', 'TR2022001153A2', 'WO2022164414A2', 'WO2022164414A3', 'WO2023146504A1']"
42,Automatic charging system during fuel battery idling in hydrogen energy source automobile,"BAO XIANJUN 
ZHAO CHENGWANG 
FANG XIAOMING 
CHENG XIAOCUI 
WANG LIANG",WUHU GUOQING ENERGY CO LTD,CN104210379A,2014-09-29,['B60L11/18'],"['Y02T10/70 (EP)', 'Y02T10/72 (EP)']",2014-12-17,2014-12-17,52092438,2014-12-17,,CN104210379A,,CN,,2014,2014,,['CN'],['CN104210379A']
43,Charging and water replenishing station for electric vehicle,"SUN YIFEI 
CAI JIABIN",XIAMEN GULUOPU TECH CO LTD,CN217969303U,2022-07-25,"['B60L53/31', 'B60L53/53', 'B60L53/54', 'H02J7/00']",['unkown)'],2022-12-06,2022-12-06,84282245,2022-12-06,,CN217969303U,,CN,,2022,2022,,['CN'],['CN217969303U']
44,BATTERY CONTROL DEVICE FOR ELECTRIC VEHICLE,"ARAI YOICHI 
SHIMOYAMA KENICHI 
MAEMOTO TOSHIFUMI","YAZAKI CORP 
MAZDA MOTOR",JPH11164401A,1997-11-28,"['B60L11/18', 'B60L3/00', 'H01M10/42', 'H02J7/00', 'B60L50/64', 'H01M10/42', 'H01M10/48', 'H02J7/00', 'H01M10/52', 'H01M2/10', 'H01M2/12']","['B60L3/0046 (EP,US)', 'B60L50/64 (EP,US)', 'B60L53/14 (EP,US)', 'B60L58/10 (EP,US)', 'B60L58/15 (EP,US)', 'B60L58/26 (EP)', 'H01M10/48 (EP,US)', 'H01M50/249 (EP,US)', 'H01M10/52 (EP,US)', 'H01M10/613 (EP,US)', 'H01M10/625 (EP,US)', 'H01M10/63 (EP,US)', 'H01M10/6563 (EP,US)', 'H01M50/30 (EP,US)', 'Y02E60/10 (EP)', 'Y02T10/70 (EP,US)', 'Y02T10/7072 (EP,US)', 'Y02T90/14 (EP,US)', 'Y02T90/16 (EP,US)']",1999-06-18,1999-06-18,18212376,1999-06-18,,JPH11164401A,,JP,,1999,1997,,"['JP', 'US']","['JPH11164401A', 'US6204769B1']"
45,Charging and water replenishing station for electric vehicle,"SUN YIFEI 
CAI JIABIN",XIAMEN GULUOPU TECH CO LTD,CN115092000A,2022-07-25,"['B60L53/31', 'B60L53/53', 'B60L53/54', 'H02J7/00']","['B60L53/31 (CN)', 'B60L53/53 (CN)', 'B60L53/54 (CN)', 'H02J7/00 (CN)', 'Y02T90/14 (EP)']",2022-09-23,2022-09-23,83297827,2022-09-23,,CN115092000A,,CN,,2022,2022,,['CN'],['CN115092000A']
46,"COMBINED HYDROGEN FUEL CELL FOR VEHICLE FUELING, ELECTRIC VEHICLE FAST CHARGING AND FUEL CELL BACK-UP POWER FORECOURT","VOLK JAMES JOSEPH [US] 
WENCK JAMES M [US] 
TAYLOR FRED [CA]",GHD INC [US],US2022227247A1,2021-01-21,"['B60L50/70', 'B60L53/10', 'B60L53/54', 'H01M8/04082']","['B60L50/70 (US)', 'B60L53/11 (EP)', 'B60L53/51 (EP)', 'B60L53/52 (EP)', 'B60L53/54 (EP,US)', 'H01M8/04201 (EP,US)', 'H01M8/0656 (EP)', 'C25B1/04 (EP,US)', 'C25B15/00 (EP)', 'H01M2250/20 (EP,US)', 'H01M2250/402 (EP,US)', 'Y02E60/36 (EP)', 'Y02E60/50 (EP)', 'Y02T10/70 (EP)', 'Y02T10/7072 (EP)', 'Y02T90/12 (EP)', 'Y02T90/40 (EP)']",2022-07-21,2022-07-21,82406830,2022-07-21,,US2022227247A1,,US,,2022,2021,US,"['AU', 'CA', 'GB', 'US', 'WO']","['AU2022211781A1', 'AU2022211781B2', 'AU2023202444A1', 'AU2023202444B2', 'CA3173430A1', 'CA3173430C', 'GB202213886D0', 'GB2617422A', 'GB2617422B', 'US2022227247A1', 'WO2022159338A1']"
47,Water-hydrogen plug-in hybrid electric vehicle,"XIANG HUA 
LI WENXIA",GUANGDONG HYDROGEN ENERGY SCIENCE & TECH CO LTD,CN108258270A,2016-12-28,"['B60K6/32', 'H01M8/0612']","['B60K6/32 (CN)', 'H01M8/0618 (CN)', 'H01M2250/20 (CN)', 'Y02E60/50 (EP)', 'Y02T90/40 (EP)']",2018-07-06,2018-07-06,62719797,2018-07-06,,CN108258270A,,CN,,2018,2016,,['CN'],['CN108258270A']
48,Hydrogen fuel cell integrated fast electric vehicle charger,HA JAE CHUNG [KR],HA JAE CHUNG [KR],"KR102352048B1 
KR20210148470A",2020-05-28,"['B60L53/10', 'B60L53/24', 'B60L53/66', 'H02H5/04', 'H02H7/18', 'H02M3/00', 'H02M7/44']","['B60L53/11 (KR)', 'B60L53/24 (KR)', 'B60L53/665 (KR)', 'H01M8/0494 (KR)', 'H01M8/04947 (KR)', 'H02H5/041 (KR)', 'H02H7/18 (KR)', 'H02M3/00 (KR)', 'H02M7/44 (KR)', 'B60L2210/10 (KR)', 'B60L2210/40 (KR)', 'B60L2250/16 (KR)', 'B60Y2200/91 (KR)', 'H01M2250/20 (KR)', 'Y02E60/50 (EP,KR)', 'Y02T10/70 (EP,KR)', 'Y02T10/7072 (EP,KR)', 'Y02T10/72 (KR)', 'Y02T90/12 (EP)', 'Y02T90/14 (EP)', 'Y02T90/16 (EP)', 'Y02T90/167 (KR)']","2021-12-08 
2022-01-17",2021-12-08,78867662,2021-12-08,2022-01-17,KR102352048B1,"
KR20210148470A",KR,"
",2021,2020,KR,['KR'],"['KR102352048B1', 'KR20210148470A']"
49,Pure electric vehicle powered by hydrogen energy,LIANG XINYAN,CHERY AUTOMOBILE CO LTD,CN103350650A,2013-06-25,"['B60K1/00', 'B60L11/18', 'B60L15/00']","['Y02T10/70 (EP)', 'Y02T10/72 (EP)']",2013-10-16,2013-10-16,49307103,2013-10-16,,CN103350650A,,CN,,2013,2013,,['CN'],['CN103350650A']
50,BATTERY CHARGING DEVICE IN ELECTRIC VEHICLE,KIYOMIYA SHIGERU,KOMATSU FORKLIFT,JP2005100746A,2003-09-24,"['B60L11/18', 'B60L3/00', 'H01M10/44', 'B60L11/18', 'B60L3/00', 'H01M10/44']","['Y02E60/10 (EP)', 'Y02T10/70 (EP)']",2005-04-14,2005-04-14,34460162,2005-04-14,,JP2005100746A,,JP,,2005,2003,,['JP'],['JP2005100746A']
51,Automatic charging device for electric vehicle battery module,CHEN WENLE,CHEN WENLE,CN103001264A,2011-09-08,"['B60L11/18', 'H02J7/00']",['Y02T10/70 (EP)'],2013-03-27,2013-03-27,47929532,2013-03-27,,CN103001264A,,CN,,2013,2011,,['CN'],['CN103001264A']
52,Scheduling method and system for electricity-hydrogen integrated charging station of new energy automobile,"YANG JIE 
YUE ZHIYUAN 
MA KAI 
LIU WEI 
GUO SHILIANG 
YUAN YAZHOU",UNIV YANSHAN,CN114784832A,2022-04-25,"['H02J15/00', 'H02J3/00', 'H02J3/06', 'H02J3/32', 'H02J3/38']","['H02J15/008 (CN)', 'H02J3/008 (CN)', 'H02J3/06 (CN)', 'H02J3/322 (CN)', 'H02J3/38 (CN)', 'H02J2300/30 (CN)']",2022-07-22,2022-07-22,82433419,2022-07-22,,CN114784832A,,CN,,2022,2022,,['CN'],['CN114784832A']
53,Charging system capable of preventing electric vehicle from moving during charging,"LU SHIMIN 
DOU WANKUN 
XU WENQING 
ZHU HONGJUN",JIANGSU KINGBON VEHICLE CO LTD,CN108621843A,2018-05-10,['B60L3/00'],"['B60L3/00 (CN)', 'B60L53/00 (CN)', 'B60L53/60 (CN)', 'B60L2200/12 (CN)', 'Y02T10/70 (EP)', 'Y02T10/7072 (EP)', 'Y02T10/72 (EP)', 'Y02T90/12 (EP)', 'Y02T90/14 (EP)']",2018-10-09,2018-10-09,63692409,2018-10-09,,CN108621843A,,CN,,2018,2018,,['CN'],['CN108621843A']
54,Hydrogen-electricity hybrid power system and vehicle,"YANG HUAPING 
ZHAI GUANGYONG 
ZHANG ZHENXING","GEELY HOLDING GROUP CO LTD 
ZHEJIANG YIZHEN AUTOMOBILE RES DEVELOPMENT CO LTD",CN221272581U,2023-12-14,['B60L50/75'],['unkown)'],2024-07-05,2024-07-05,91691209,2024-07-05,,CN221272581U,,CN,,2024,2023,,['CN'],['CN221272581U']
55,"Charging temperature control device of vehicle battery pack, battery management system and electric vehicle","XIU SHUDONG 
YANG ZHENYU 
LI SHUYE",SVOLT ENERGY TECH COMPANY LTD,CN208986134U,2018-12-14,"['H01M10/44', 'H01M10/615', 'H01M10/625', 'H01M10/633', 'H01M10/637']",['Y02E60/10 (EP)'],2019-06-14,2019-06-14,66792249,2019-06-14,,CN208986134U,,CN,,2019,2018,,['CN'],['CN208986134U']
56,Mobile charging system for electric vehicle,XIANG HUA,SHANGHAI HYDROGEN MOBILE REFORMER INSTR CO LTD,CN106026340A,2016-06-17,"['H02J7/00', 'H02J7/35', 'H02S10/10', 'H02S10/12']","['H02J7/0063 (CN)', 'H02J7/35 (CN)', 'H02S10/10 (CN)', 'H02S10/12 (CN)', 'H02J2207/40 (CN)', 'Y02E10/50 (EP)']",2016-10-12,2016-10-12,57088718,2016-10-12,,CN106026340A,,CN,,2016,2016,,['CN'],['CN106026340A']
57,Hydrogen-electricity hybrid power system and vehicle,"YANG HUAPING 
ZHAI GUANGYONG 
ZHANG ZHENXING","GEELY HOLDING GROUP CO LTD 
ZHEJIANG YIZHEN AUTOMOBILE RES DEVELOPMENT CO LTD",CN221272582U,2023-12-14,"['B60L50/40', 'B60L50/75']",['unkown)'],2024-07-05,2024-07-05,91703714,2024-07-05,,CN221272582U,,CN,,2024,2023,,['CN'],['CN221272582U']
58,Energy independent type hydrogen energy power generation system for supplying power to electric vehicle charging pile,"KWON SOON-PYO 
KIM JONG-HWA",KWATERCRAFT CO LTD,CN115706254A,2021-08-04,"['B60L53/31', 'B60L53/51', 'B60L53/54', 'C02F1/461', 'C02F9/00', 'C25B1/04', 'H01M8/22', 'C02F103/08']",['unkown)'],2023-02-17,2023-02-17,85178622,2023-02-17,,CN115706254A,,CN,,2023,2021,,['CN'],['CN115706254A']
59,INTEGRATED SOLAR-POWERED HIGH-PRESSURE HYDROGEN PRODUCTION AND BATTERY CHARGING SYSTEM,"KELLY NELSON A [US] 
GIBSON THOMAS L [US] 
CAI MEI [US]","GM GLOBAL TECH OPERATIONS INC [US] 
KELLY NELSON A [US] 
GIBSON THOMAS L [US] 
CAI MEI [US]","US2010230292A1 
US8721868B2",2009-03-16,"['C25B1/02', 'C01B3/04', 'C25B1/04']","['H01M8/04208 (EP,CN,US)', 'H01M8/0656 (EP,CN,US)', 'H02J7/35 (EP,CN,US)', 'H02S40/00 (CN)', 'H02S40/38 (EP,US)', 'H02S40/44 (EP,US)', 'H01M2250/20 (EP,CN,US)', 'H01M8/04216 (EP,CN,US)', 'Y02E10/56 (EP,US)', 'Y02E10/60 (EP,US)', 'Y02E60/36 (EP,US)', 'Y02E60/50 (EP)', 'Y02E70/30 (EP)', 'Y02P20/133 (EP,US)', 'Y02T90/40 (EP,US)']","2010-09-16 
2014-05-13",2010-09-16,42729813,2010-09-16,2014-05-13,US2010230292A1,"
US8721868B2",US,"
",2010,2009,US,"['CN', 'DE', 'US']","['CN101837952A', 'CN104934620A', 'CN104934620B', 'DE102010011407A1', 'US2010230292A1', 'US8721868B2']"
60,Mobile charging vehicle,ZHANG WEI,SHENZHEN GUOQI AOYUAN TECH CO LTD,CN209290251U,2018-10-15,"['B60L53/50', 'B60L53/51', 'B60L53/52', 'B60P3/00', 'H02J7/14', 'H02J7/35']","['Y02T10/70 (EP)', 'Y02T10/7072 (EP)', 'Y02T90/12 (EP)']",2019-08-23,2019-08-23,67654056,2019-08-23,,CN209290251U,,CN,,2019,2018,,['CN'],['CN209290251U']
61,Charging system for electric automobile,XIANG HUA,SHANGHAI HYDROGEN MOBILE REFORMER INSTR CO LTD,CN106025300A,2016-06-17,"['B60L11/18', 'H01M4/90', 'H01M8/0612', 'H02J7/00']","['B60L53/30 (CN)', 'B60L53/51 (CN)', 'B60L53/52 (CN)', 'B60L53/54 (CN)', 'H01M4/9016 (CN)', 'H01M8/0618 (CN)', 'H02J7/0027 (CN)', 'H01M2250/20 (CN)', 'Y02E60/50 (EP)', 'Y02T10/70 (EP)', 'Y02T10/7072 (EP)', 'Y02T90/12 (EP)']",2016-10-12,2016-10-12,57088883,2016-10-12,,CN106025300A,,CN,,2016,2016,,['CN'],['CN106025300A']
62,FUEL CELL SYSTEM FOR CHARGING ELECTRIC VEHICLE BATTERIES,LEE WOONG MOO [KR],PAHPS [KR],KR20160042488A,2014-10-10,"['B60K1/04', 'B60L11/18', 'H01M8/04', 'H01M8/06']","['B60L50/50 (KR)', 'B60L58/30 (KR)', 'H01M8/04089 (KR)', 'H01M8/04201 (KR)', 'H01M8/04947 (KR)', 'H01M8/0618 (KR)', 'H01M8/0662 (KR)', 'H01M8/0687 (KR)', 'H01M2250/20 (KR)', 'Y02E60/50 (EP)', 'Y02T10/70 (EP)', 'Y02T90/40 (EP)']",2016-04-20,2016-04-20,55917282,2016-04-20,,KR20160042488A,,KR,,2016,2014,KR,['KR'],['KR20160042488A']
63,Self-Charging Battery System for Electric Vehicles,"WERTZ BRUCE DOUGLAS [US] 
TRIMBLE MONTY CHARLES [US]",SELF CHARGE EV SYSTEMS LLC [US],US2024351453A1,2023-04-19,"['B60K15/03', 'B60K6/26', 'B60K6/28', 'B60K6/46', 'B60L50/62', 'B60L53/51']","['B60K15/03 (EP,US)', 'B60K6/26 (US)', 'B60K6/28 (US)', 'B60K6/46 (US)', 'B60L50/62 (EP,US)', 'B60L53/51 (EP,US)', 'B60L8/003 (EP)', 'B60K2015/03315 (EP,US)', 'B60Y2200/92 (EP,US)', 'B60Y2300/91 (EP,US)', 'B60Y2400/102 (EP,US)', 'B60Y2400/106 (EP,US)', 'B60Y2400/112 (EP,US)', 'B60Y2400/216 (EP,US)']",2024-10-24,2024-10-24,93122706,2024-10-24,,US2024351453A1,,US,,2024,2023,US,"['US', 'WO']","['US2024351453A1', 'WO2024220224A1']"
64,Methanol-water hybrid electric vehicle,"GAO JIMING 
YANG YANZHANG",GUANGDONG CREATE TECH CO LTD,CN111301185A,2020-03-26,"['B60L50/75', 'B60L58/33', 'B60L58/40', 'H01M8/0612']","['B60L50/75 (CN)', 'B60L58/33 (CN)', 'B60L58/40 (CN)', 'H01M8/0618 (CN)', 'Y02E60/50 (EP)', 'Y02T10/70 (EP)', 'Y02T90/40 (EP)']",2020-06-19,2020-06-19,71155505,2020-06-19,,CN111301185A,,CN,,2020,2020,,['CN'],['CN111301185A']
65,Mobile electric vehicle charging system,"ZHANG RUIFENG 
WANG HAIFAN 
WU JIN 
ZHANG RUIJIE",DONGGUAN QINGXIN NEW ENERGY CO LTD,CN106696746A,2017-01-19,"['B60L11/18', 'H02J7/00']","['B60L53/00 (CN)', 'B60L53/51 (CN)', 'B60L53/53 (CN)', 'B60L53/54 (CN)', 'H02J7/0027 (CN)', 'H02J7/0068 (CN)', 'Y02T10/70 (EP)', 'Y02T10/7072 (EP)', 'Y02T10/72 (EP)', 'Y02T90/12 (EP)', 'Y02T90/14 (EP)']",2017-05-24,2017-05-24,58909017,2017-05-24,,CN106696746A,,CN,,2017,2017,,['CN'],['CN106696746A']
66,Electric automobile water hydrogen charging device,XIANG HUA,SHANGHAI HYDROGEN MOBILE REFORMER INSTR CO LTD,CN205429080U,2015-11-03,"['C01B3/32', 'H01M8/0612', 'H01M8/22', 'H02J7/00']",['Y02E60/50 (EP)'],2016-08-03,2016-08-03,56518599,2016-08-03,,CN205429080U,,CN,,2016,2015,,['CN'],['CN205429080U']
67,Hydrogen-electric hybrid vehicle cluster flexibility potential assessment method considering energy charging intention,"WANG QIUJIE 
LIU GUANHUI 
HE CHENGZE 
ZHANG JIAHAO 
LU XUENING",UNIV CHINA THREE GORGES CTGU,CN118246944A,2024-02-27,"['G06Q10/04', 'G06Q10/063', 'G06Q10/0639', 'G06Q30/0201', 'G06Q50/06', 'G06Q50/26', 'G06Q50/40', 'H02J3/00']","['G06Q10/04 (CN)', 'G06Q10/063 (CN)', 'G06Q10/0639 (CN)', 'G06Q30/0201 (CN)', 'G06Q50/06 (CN)', 'G06Q50/26 (CN)', 'H02J3/003 (CN)']",2024-06-25,2024-06-25,91551957,2024-06-25,,CN118246944A,,CN,,2024,2024,,['CN'],['CN118246944A']
68,Hydrogen fuel cell journey-increasing electric vehicle and display device thereof,CHENG YAN,BEIQI FOTON MOTOR CO LTD,"CN104842791A 
CN104842791B",2014-11-24,['B60K35/00'],['unkown)'],"2015-08-19 
2017-11-03",2015-08-19,53842919,2015-08-19,2017-11-03,CN104842791A,"
CN104842791B",CN,"
",2015,2014,,['CN'],"['CN104842791A', 'CN104842791B']"
69,Remove storage battery car based on hydrogen cell group charges,SHA DEFU,CHEJIXIU AUTOMOBILE TECH CO LTD,CN206678868U,2017-04-28,"['B60L11/18', 'B60P3/00', 'B60P3/14', 'H02J7/00']","['Y02T10/70 (EP)', 'Y02T90/16 (EP)']",2017-11-28,2017-11-28,60406856,2017-11-28,,CN206678868U,,CN,,2017,2017,,['CN'],['CN206678868U']
70,Automatic charging device of motor battery module,WENLE CHEN,WENLE CHEN,CN202261108U,2011-09-08,['H02N11/00'],['unkown)'],2012-05-30,2012-05-30,46122289,2012-05-30,,CN202261108U,,CN,,2012,2011,,['CN'],['CN202261108U']
71,Traction type recreational vehicle power supply equipment of hybrid electric vehicle,ZHOU HAI,SANCHUANG LIANMENG CANGZHOU LINGANG TECH CO TLD,CN112622792A,2021-01-25,"['B60P3/36', 'B60R16/033', 'H02J7/35']","['B60P3/36 (CN)', 'B60R16/033 (CN)', 'H02J7/35 (CN)', 'Y02B10/10 (EP)']",2021-04-09,2021-04-09,75295465,2021-04-09,,CN112622792A,,CN,,2021,2021,,['CN'],['CN112622792A']
72,SYSTÈME DE CHARGE DE VÉHICULE ÉLECTRIQUE COMPORTANT UN CHARGEUR MOBILE UTILISANT UNE PILE À HYDROGÈNE,"YOO JAE SIK [KR] 
CHOI SEONG HOON [KR]",INFINITE KOREA INC [KR],WO2023195813A1,2022-04-08,"['B60L53/16', 'B60L53/24', 'B60L53/35', 'B60L53/54']","['B60L53/16 (EP,KR)', 'B60L53/24 (EP,KR)', 'B60L53/35 (EP,KR)', 'B60L53/54 (EP,KR)', 'B60Y2200/91 (KR)', 'Y02E60/50 (KR)', 'Y02T90/12 (KR)', 'Y02T90/14 (KR)', 'Y02T90/40 (KR)']",2023-10-12,2023-10-12,88243281,2023-10-12,,WO2023195813A1,,WO,,2023,2022,KR,"['KR', 'WO']","['KR102712763B1', 'KR20230144807A', 'WO2023195813A1']"
73,Control method and device of hydrogen fuel cell and vehicle,"ZHOU JIANBING 
ZHENG KAI 
TANG JUN 
WANG JINYUAN 
BIAN XIAOGUANG 
SHI XIUZHU 
YU JIAHUA 
ZHAO JIANSHENG 
DONG GUOXIONG 
ZHANG WEI",DONGFENG AUTOMOBILE CO LTD,CN116533831A,2023-05-15,"['B60L53/00', 'B60L58/12', 'B60L58/30']","['B60L53/00 (CN)', 'B60L58/12 (CN)', 'B60L58/30 (CN)']",2023-08-04,2023-08-04,87455735,2023-08-04,,CN116533831A,,CN,,2023,2023,,['CN'],['CN116533831A']
74,SUPPLY STATION AND METHOD CAPABLE OF CHARGING ELECTRICITY AND FILLING WITH HYDROGEN GAS SIMULTANEOUSLY OR SEPARATELY,"PICKLES JEFF [US] 
KU ANTHONY [US] 
LI XIANMING JIMMY [US] 
SINGH SURINDER [US] 
ALLEN JEFF [US]","CHINA ENERGY INVESTMENT CORP LTD [CN] 
NAT INST CLEAN & LOW CARBON ENERGY [CN]",US2021261010A1,2018-09-25,"['B60L50/75', 'B60L53/30', 'B60L53/53', 'B60L53/54', 'F17D1/04', 'H02J7/02']","['B60L50/75 (US)', 'B60L53/30 (EP,US)', 'B60L53/53 (EP,US)', 'B60L53/54 (EP,US)', 'F17D1/04 (CN,US)', 'F17D3/01 (CN)', 'H02J15/008 (EP)', 'H02J7/02 (EP,US)', 'F17C2221/012 (EP)', 'F17C2223/0123 (EP)', 'F17C2223/036 (EP)', 'F17C2225/0123 (EP)', 'F17C2225/036 (EP)', 'F17C2265/04 (EP,US)', 'F17C2265/065 (US)', 'F17C2270/0139 (EP,US)', 'F17C5/06 (EP,US)', 'Y02E60/32 (EP,US)', 'Y02E60/34 (EP)', 'Y02E60/36 (EP,US)', 'Y02E70/30 (EP,US)', 'Y02T10/70 (EP)', 'Y02T10/7072 (EP)', 'Y02T90/12 (EP,US)', 'Y02T90/16 (EP)', 'Y02T90/40 (EP,US)']",2021-08-26,2020-03-31,69904875,2021-08-26,,US2021261010A1,,US,,2021,2018,CN,"['CN', 'DE', 'JP', 'US', 'WO']","['CN110939868A', 'CN110939868B', 'DE112019004788T5', 'JP2021517549A', 'JP7174779B2', 'US2021261010A1', 'WO2020062956A1']"
75,Battery condition monitoring system and method for electric vehicle,FAN QINGKE,ZHEJIANG AGRICULTURAL BUSINESS COLLEGE,CN106985688A,2017-03-20,"['B60L11/00', 'B60L11/18', 'B60L3/00', 'B60R16/023', 'C25B1/04', 'C25B9/00']","['B60L3/0046 (CN)', 'B60L50/40 (CN)', 'B60L53/60 (CN)', 'B60L58/10 (CN)', 'B60L58/16 (CN)', 'B60R16/0232 (CN)', 'C25B1/04 (CN)', 'C25B9/00 (CN)', 'Y02E60/36 (EP)', 'Y02P20/133 (EP)', 'Y02T10/70 (EP)', 'Y02T10/7072 (EP)', 'Y02T90/12 (EP)', 'Y02T90/16 (EP)']",2017-07-28,2017-07-28,59411691,2017-07-28,,CN106985688A,,CN,,2017,2017,,['CN'],['CN106985688A']
76,Apparatus for controlling charging of a storage battery for use on an electric vehicle,HOTTA YOSHIHIKO [JP],HONDA MOTOR CO LTD [JP],US5686812A,1995-02-06,"['H01M10/46', 'B60L1/00', 'B60L11/18', 'H02J7/00', 'H02J7/34']","['B60L1/003 (EP,US)', 'B60L1/02 (EP,US)', 'B60L3/0046 (US)', 'B60L53/14 (EP,US)', 'B60L53/22 (EP,US)', 'B60L58/14 (EP,US)', 'B60L58/15 (EP,US)', 'B60L58/26 (EP,US)', 'B60L58/27 (EP,US)', 'H02J7/0031 (EP,US)', 'H02J7/0068 (EP,US)', 'B60L2210/10 (EP,US)', 'B60L2210/30 (EP,US)', 'B60L2210/40 (EP,US)', 'B60L2240/545 (EP,US)', 'B60L2240/547 (EP,US)', 'B60L2240/549 (EP,US)', 'B60L2250/16 (EP,US)', 'B60L2260/22 (EP,US)', 'B60L2260/54 (EP,US)', 'Y02T10/70 (EP,US)', 'Y02T10/7072 (EP,US)', 'Y02T10/72 (EP,US)', 'Y02T90/12 (US)', 'Y02T90/14 (EP,US)', 'Y10S320/10 (EP,US)', 'Y10S320/11 (EP,US)']",1997-11-11,1996-08-20,11966471,1997-11-11,,US5686812A,,US,,1997,1995,JP,"['JP', 'US']","['JP3484251B2', 'JPH08214411A', 'US5686812A']"
